# CENSUS not a reclassification. origin/main sha=2b4d217a04 (v1 rows were 98eb2b4f41). TypeKind=99 TypeExprKind=54 Concept-ID=24 on this worktree; origin/main also has SOUNIO-EXACTNESS (#1941) — not crossed here.
# fit: embodies | related | related-name-only | none | undocumented-kind
# side=concept: one row per registry Concept-ID.
# side=undoc-kind: one row per founder-brief 22 TypeKinds with no documentation.
# side=family-g: the four assigned kinds (two of which are also in the 22).
side	id	peer	fit	sha_main	notes
concept	SOUNIO-ZERO-PROVENANCE	none	none	2b4d217a04	surface stdlib/epistemic/zero_event.sio; TyUnobserved is not zero-provenance
concept	SOUNIO-EPISTEMIC-NUMERIC-VALUE	TyKnowledge	embodies	2b4d217a04	only embodies=1 of 24; measure constructs; coerce to f64 is E001 this turn
concept	SOUNIO-NONASSOCIATIVE-ORDER	TyHyper	related	2b4d217a04	associator is stdlib; Hyper is the algebra tag
concept	SOUNIO-RNA-CD-INDUCTIVE-BIAS	none	none	2b4d217a04	research manifest
concept	SOUNIO-EXPLICIT-DISCHARGE	TyDeferred	related	2b4d217a04	discharge is an act; Deferred is Family B
concept	SOUNIO-PHYSICAL-OBSERVATION	none	none	2b4d217a04	stdlib/physics
concept	SOUNIO-PRECISION-PRESERVATION	TyF128,TyF256	related	2b4d217a04	format-identity kinds; concept surface is qd128.sio
concept	SOUNIO-DYADIC-NONREDUCTION	none	none	2b4d217a04	stdlib epistemic
concept	SOUNIO-RELATIONAL-ASSOCIATOR	none	none	2b4d217a04	stdlib epistemic
concept	SOUNIO-PROOF-CARRYING-INFERENCE	TyProof,TyContest,TyRobust	related	2b4d217a04	carriers vs stdlib contest protocol
concept	SOUNIO-SECOND-ORDER-COMPILATION	none	none	2b4d217a04	architecture doc
concept	SOUNIO-HYPERCOMPLEX-ZD-EVIDENCE	TyHyper	related	2b4d217a04	ZD evidence is stdlib/eisa
concept	SOUNIO-SCIENCE-RESEARCH-BOUNDARY	none	none	2b4d217a04	docs/policy
concept	SOUNIO-REBRACKETING-AUTHORITY	none	none	2b4d217a04	IR opt_cleanup
concept	SOUNIO-ORDERED-PATH-PROVENANCE	none	none	2b4d217a04	IR path; no TypeKind
concept	SOUNIO-REFLEXIVE-INQUIRY	none	none	2b4d217a04	stdlib protocol
concept	SOUNIO-ENDOGENOUS-OBSERVABILITY	TyUnobserved	related	2b4d217a04	type-state vs protocol
