pattern	match_kind	surface_policy	claim_ids	notes
README.md	exact	public	compiler.entrypoint,conformance.spine,spec.drift,selfhost,platform.linux_x86_64,epistemic.gum,formal.lean	Root README is public-facing and must route PL claims through the serious-language closure registry.
INSTALL.md	exact	downgraded	install	Installation docs must keep package-manager and broad install claims downgraded.
docs/*.md	glob	public	compiler.entrypoint,conformance.spine,spec.drift,website.docs	Top-level docs pages are public repo docs; broad language claims close through the registry.
docs/architecture/**	prefix	public	direct_driver,native_v2,gpu.ptx,ontology,stdlib.surface	Architecture docs may discuss broad systems, but claims must be registry-backed or downgraded.
docs/audit/**	prefix	historical	-	Audit artifacts and oracle/reference captures are historical evidence records, not current public PL support promises.
docs/archived/**	prefix	historical	-	Archived docs are lineage, not current public PL support claims.
docs/brand/**	prefix	internal	-	Brand assets are not PL claim surfaces.
docs/compiler/**	prefix	public	selfhost,binary.source,native_v2,gpu.ptx,refinement.types,tooling.package,tooling.editor	Compiler docs are public technical surfaces and must use readiness-closed claim IDs.
docs/contributor-guide/**	prefix	internal	-	Contributor docs are process surfaces, not public PL claim authority.
docs/decisions/**	prefix	internal	-	ADRs are internal governance/history unless explicitly cited elsewhere.
docs/dissertation/**	prefix	public	clinical.pharm,epistemic.gum,formal.lean,algebra.168	Dissertation docs are external-facing and must close research claims through named IDs.
docs/ecosystem/**	prefix	downgraded	tooling.package,install	Package and ecosystem docs must not imply a launched public registry.
docs/features/**	prefix	public	gpu.ptx,platform.linux_x86_64,platform.macos,platform.windows,refinement.types,epistemic.gum	Feature docs are public and must close support-level claims.
docs/governance/**	prefix	internal	-	Governance docs define process and registry structure.
docs/guide/**	prefix	public	core.syntax,core.execution,core.structs,effects,ownership.borrowing,modules.imports,generics.traits,epistemic.gum,tooling.package,tooling.editor,install	User guides are public and must route feature claims through the registry.
docs/handoff/**	prefix	internal	-	Handoff notes are internal operational context.
docs/implementation/**	prefix	downgraded	selfhost,binary.source,native_v2,gpu.ptx,stdlib.surface	Implementation reports are not current public support promises.
docs/internal/**	prefix	internal	-	Internal docs are not public PL claim surfaces.
docs/llm-guide/**	prefix	public	core.syntax,core.execution,stdlib.surface,epistemic.gum	LLM programming docs are public enough to require claim closure.
docs/papers/**	prefix	public	formal.lean,algebra.168,clinical.pharm,epistemic.gum,gpu.ptx,hypercomplex.nn,paper.bundle	Paper drafts and submission materials must route external claims through closed or downgraded IDs.
docs/preprint/**	prefix	downgraded	paper.bundle,epistemic.gum	Preprint scratch artifacts are not current public PL support promises.
docs/proposals/**	prefix	downgraded	epistemic.gum,hypercomplex.nn	Proposals are exploratory unless promoted by gates.
docs/serious-language/**	prefix	public	compiler.entrypoint,conformance.spine,spec.drift,claim.closure,claim.line_annotations,selfhost,platform.linux_x86_64,epistemic.gum,formal.lean,paper.bundle	Serious-language docs are the canonical public PL defensibility surface.
docs/spec/**	prefix	public	spec.drift,core.syntax,core.execution,effects,ownership.borrowing,modules.imports,epistemic.gum,closures.lambdas	The language spec is public, but support claims must route through matrix and registry closure.
docs/training/**	prefix	internal	-	Training corpora are not public PL claim surfaces.
