stage	file	class	production_path	loss_kinds	evidence
specialize_generics	check/specializer.sio:1257	c	yes	genericity-structural-recovery;dead-instantiation-bound	SPEC_DCE_MAX=512; single-UPPERCASE TypeNamed treated as free type variable (header 1-10)
effect_gates	E035:check/effects_row.sio:77;EpistemicComplete:compiler/lean_single.sio:26478	gate	yes	none(reject-only)	E035 emitted check/check.sio:11910; EpistemicComplete is legacy-engine only
lower_program_to_ir_structural	ir/lower.sio:18870	c	yes	effect-list-erasure;span/provenance-erasure	IrFunction (ir.sio:713-732) has compile_strategy but no effect list; IrInstr has no span field
lower_fo_gum_emission	ir/lower.sio:6322	b	yes	taylor-truncation-1st/2nd-order	second_order_mean=f(mu)+0.5*sum(H_kk*sigma2_k) documented 7082-7166; 32-channel table 633-634, scalar fallback 6483-6485
ir_opt_apply_strategy	ir/opt_strategy.sio:210	c	yes	shared-mutable-state-across-cfg-copies	call_args Box shared not cloned (comment 94-96, "deferred to Sprint 41")
hlir_opt_strategy	hlir/opt_strategy.sio:1-15	c	no(hlir)	same-diamond-pattern	same transform at HLIR level
hlir_lower	hlir/lower.sio:1431-1448	a	no(hlir)	none-observed	Strategy mapping Knowledge<T>->PrecisionPreserving; measure() at 2579; static reading found no erasure
lower_all_closure_calls	ir/closure.sio:745	a	yes	none	closure conversion, by construction
async_lower_module	ir/async_lower.sio:1086	b	yes	simple-dataflow-liveness	header: "simple dataflow" live-var analysis
reach_thin_module	ir/reachability.sio	c	yes	indirect-call-blind-edges	call graph from IrCall.fn_id only; IrLoadFnRef edges unseen (native/lower_ir.sio:316)
normalize	ir/normalize.sio:1-12	a	tooling	naming/layout-destruction(by-design)	canonicalization for cross-stage equivalence checking
ssa_construct_destruct	ir/ssa.sio	a	tooling	none	standard SSA
layout_sort_by_profile	ir/layout.sio	a	yes	None-semantic;fn_id-positional-assumption	remap patched; header warns lines 6-8
sprof_apply_promotion	ir/profile.sio:132	c	yes	strategy-flip-from-profile-counts	can promote fn into AGGRESSIVE (float reassoc allowed, ir.sio:692) from runtime counts
const_fold_pass	ir/optimize.sio:152	c	no(test-only)	i64-overflow-wrap-silent	try_fold_binop:33-35 wraps a+b with no overflow check; floats never folded 175-181
strength_reduce_pass	ir/optimize.sio:458	a	no(test-only)	none	integer-only
dce_pass	ir/optimize.sio:367	c	no(test-only)	epistemic-ops-eliminable	side-effect set 345-359 omits IrMeasure/IrContest/etc.
cp_optimize_function_SCCP	ir/const_prop.sio:1662	c	yes	host-f64-float-const-folding	cp_fold_binop_float:671-688 folds a+b,a*b,a/b in host f64; only div-by-0.0 refused
ocp_const_fold_with_audit_rebracket	ir/opt_cleanup.sio:52-274	a	no(by-value-selftest-path-only)	none(float-refused);audited	rebracket limited to exact bitwise AND/OR/XOR (258); audit receipt 90-129; disabled on mfi route (9687-9690)
ocp_mul3_sr	ir/opt_cleanup.sio:8626	a	yes	none	integer non-pow2 strength reduction
ocp_egraph_pass	ir/opt_cleanup.sio:7906	inert	yes	n/a	"always skips guard" (8947)
ocp_egraph_mini_pass	ir/opt_cleanup.sio:8359	b	yes	gated-float-reassoc	allow_inexact_reassoc default false, "FORBIDDEN" (egraph.sio:1324-1331); danger: eg_small_init_algebra (1369-1395) sets it true
ocp_egraph_epistemic_pass	ir/opt_cleanup.sio:8081	b	yes	intentional-bit-trade;uncertainty-quantization	"deliberately trades bits for a lower-uncertainty evaluation order" (egraph.sio:1328-1330); u_f64*1e9->i64 (1556)
ocp_cse	ir/opt_cleanup.sio:7966	a	yes	none	pure-op CSE
ocp_gvn	ir/opt_cleanup.sio:8755	a	yes	none	pure-op GVN
ocp_copy_prop	ir/opt_cleanup.sio:8426	a	yes	none	pure-op copy propagation
ocp_dse	ir/opt_cleanup.sio:8476	b	yes	conservative-approximation	self-described conservative (dce.sio:684-688)
ocp_dce_once	ir/opt_cleanup.sio:7881	c	yes	epistemic-ops-NOP-eligible	ocp_has_side_effect (1494-1510) omits IrMeasure/IrContest/IrLiftKnowledge/IrDebugGuard/certificate ops
ocp_redundant_jump	ir/opt_cleanup.sio:8528	a	yes	none	structural
ocp_jump_to_return	ir/opt_cleanup.sio:8900	a	yes	none	structural
ocp_dead_after_jump	ir/opt_cleanup.sio:8560	a	yes	none	structural
ocp_dead_label	ir/opt_cleanup.sio:8588	a	yes	none	structural
ocp_licm	ir/opt_cleanup.sio:8689	c	yes	trap-timing-change	hoists float Div out of maybe-zero-trip loops; hoistable set loop_opt.sio:3723-3733
ocp_compact_nops	ir/opt_cleanup.sio:8986	a	yes	none	structural
lopt_loop_optimize	ir/loop_opt.sio:4245	c	yes	trap-timing;fusion/distribution-reorder	LICM 1339; unrolling; SR; fusion; distribution
inl_run_pass	ir/inline.sio:947	c	yes	strategy-mixing;call-structure-erasure	cost model bonuses AGGRESSIVE/PRECISION fns (552-557) instead of gating; small fns always inlined (542)
tco_run_pass	ir/tailcall.sio:1098	c	yes	stack-depth-observability-loss	values preserved; recursion->loop/trampoline erases stack behavior
avec_vectorize_loop	ir/auto_vectorize.sio:1305	c	no(dormant)	float-blind-reduction-reassoc	avec_is_associative (963-970) treats Add/Mul associative with no int/float distinction
native_lower_ir_scalar	native/lower_ir.sio:667-673	b	yes	cvttsd2si-truncation	scalar SSE addsd/mulsd; no scalar FMA contraction (FMA only explicit vector opcode 1261); cvttsd2si at 579
native_lower_ir_epistemic_erasure	native/lower_ir.sio:285-301	c	yes	uncertainty-dropped;provenance-erased;effect-stub	IrMeasure->bare MOV (296-298); IrLiftKnowledge/IrPlanRecourse/IrProposeAlternatives/IrCommitAlternative->MOV; IrDebugGuard->NOP stub (299-301)
native_peephole	native/peephole.sio:3-10	a	yes	none	integer idioms; xor-flags subtlety handled (line 10)
native_regalloc	native/regalloc.sio	a	yes	none	linear scan + spills
native_hyper_lower	native/hyper_lower.sio:10-13	b	yes	per-component-f64-rounding	Hyper<Algebra,T> componentwise scalar loops; octonion/sedenion order fixed by construction
wasm_lower	wasm/lower.sio	a	yes	structured-control-reconstruction-risk	IR->WASM stack machine
llvm_delegation	llvm/passes.sio:24-83	c	yes	entire-llvm-middleend-uncharacterized	LLVMRunPasses with O0-O3/Os/Oz; no fast-math flag audit visible at call site
gpu_optimizer	gpu/opt/optimizer.sio:400-408	c	gpu-route	host-f32-const-fold;div-panic-vs-device-inf	opt_fold_add_ff/mul_ff/div_ff fold f32 on host; div_ff Panics while device yields inf
gpu_fusion	gpu/opt/fusion.sio	c	gpu-route	kernel-boundary-memory-visibility	kernel fusion w/ param dedup, register remap
gpu_epistemic_fusion	gpu/opt/epistemic_fusion.sio:9-32	c	gpu-route	provenance-xor-merge-lossy	provenance tags XOR-combined + eps budgets, lossy by design
gpu_second_order_gum	gpu/opt/second_order_gum.sio	b	gpu-route	fixed-point-quantization	milli-scaled integer GUM: (fprime^2*u^2)/1e9; integer division truncation
