# Seven xor-fibers of 12. SHA f79c93c772. Prediction 84/12=7 tested, not assumed.
# field	value	engine	notes
verdict	SEVEN_DISJOINT_FIBERS	n/a	labels 9-15, each 12, disjoint, union 84
sha	f79c93c77238835ebbed48df5a6872f41ff9e723	n/a	origin/main
equivalence	xorLabel=lo XOR hi	lean+python	not an orbit, not conjugacy
n_valid	84	python	matches prim_total
n_fibers	7	python+lean	zd_fiber_count_7
labels	9,10,11,12,13,14,15	python+lean	zd_fiber_labels
fiber_size	12	python+lean	all seven
pairwise_overlap	0	python+lean	
union	84	python+lean	
uncovered	0	python+lean	
orthogonal_to_annihilator	false	python+lean	kernel all in own fiber
kernel_size	4	python	84/84
kernel_distinct_labels	1	python	84/84
kernel_splits	0	python	
kernel_subset_own_fiber	84	python+lean	kernel_stays_in_own_fiber
self_in_kernel	0	python	
edit_card	12	lean	edit_is_own_fiber
unlearn_card	4	lean	edit_twelve_unlearn_four
fiber9_members	e2±e11,e3±e10,e4±e13,e5±e12,e6±e15,e7±e14	python+lean	positive control
outsider	e1+e10	python+lean	xorLabel=11; not in fiber9
primA	e3+e10	python+lean	fiber 9
primA_kernel	e4+e13,e5-e12,e6-e15,e7+e14	python	all label 9
g5_reduces_to_g3	false	n/a	12≠4; nested, not equal
two_independent_primitives	false	n/a	nested pair, not orthogonal
lean_host	cpuops-t560-proxmox	lean-4.33.0	partition cpu-ops
lean_summary	ok=5 fail=0	lean-4.33.0	no sorry; existing theorems unedited
lean_threads	--threads=1 --tstack=8192	lean-4.33.0	required in Slurm cgroup
prediction_seven_fibers	true	n/a	
prediction_orthogonal	false	n/a	the arithmetic did not imply this
