case	engine	verb	src	rc	diag	line	note
pos_sort_fix	madaros	check	stdlib/darwin_pbpk/test_sort_fix.sio	0	none	-	positive same-folder; check: OK
pos_sort_fix	lean_single	check	stdlib/darwin_pbpk/test_sort_fix.sio	0	none	-	positive same-folder; compile ELF 42014
ep28	madaros	check	stdlib/darwin_pbpk/epistemic_pbpk28.sio	0	none	-	3 modules verdict=0; no E200
ep28	lean_single	check	stdlib/darwin_pbpk/epistemic_pbpk28.sio	0	none	-	compile ELF 133203; 63 fns; no E200
isolate_struct_lit	madaros	check	docs/audit/repro/e200/isolate_struct_lit.sio	0	none	-	Knowledge{value,variance,epsilon,provenance}
isolate_struct_lit	lean_single	check	docs/audit/repro/e200/isolate_struct_lit.sio	0	none	-	same literal; compile ok
isolate_call_form	madaros	check	docs/audit/repro/e200/isolate_call_form.sio	0	none	-	Knowledge(0.0, ε=1.0, prov="unused")
isolate_call_form	lean_single	check	docs/audit/repro/e200/isolate_call_form.sio	0	none	-	same call form; compile ok
negative_wrong_field	madaros	check	docs/audit/repro/e200/negative_wrong_field.sio	0	none	-	FINDING: mystery field accepted
negative_wrong_field	lean_single	check	docs/audit/repro/e200/negative_wrong_field.sio	0	none	-	warning unknown field; rc=0
negative_no_value	madaros	check	docs/audit/repro/e200/negative_no_value.sio	1	error[E012]	-	value required
negative_no_value	lean_single	check	docs/audit/repro/e200/negative_no_value.sio	0	none	-	warning only; value not required
numeric_carrier	madaros	check	docs/audit/repro/e200/numeric_carrier.sio	0	none	-	
numeric_carrier	lean_single	check	docs/audit/repro/e200/numeric_carrier.sio	0	none	-	
numeric_carrier	madaros	run	docs/audit/repro/e200/numeric_carrier.sio	0	none	-	prints 12.400000 22.202944 0.650000 0.000000
numeric_carrier	lean_single	run	docs/audit/repro/e200/numeric_carrier.sio	0	none	-	prints 12.400000 22.202944 0.650000 0.650000
numeric_reorder	madaros	check	docs/audit/repro/e200/numeric_reorder.sio	0	none	-	
numeric_reorder	lean_single	check	docs/audit/repro/e200/numeric_reorder.sio	0	none	-	
numeric_reorder	madaros	run	docs/audit/repro/e200/numeric_reorder.sio	0	none	-	prints 12.400000 22.202944 0.000000; epsilon not named alias
numeric_reorder	lean_single	run	docs/audit/repro/e200/numeric_reorder.sio	0	none	-	prints 12.400000 22.202944 0.650000; epsilon named alias
