id	iri	label
0	http://purl.obolibrary.org/obo/BFO_0000050	part of
1	http://purl.obolibrary.org/obo/BFO_0000051	has part
2	http://purl.obolibrary.org/obo/BFO_0000062	preceded by
3	http://purl.obolibrary.org/obo/BFO_0000063	precedes
4	http://purl.obolibrary.org/obo/BSPO_0000096	anterior to
5	http://purl.obolibrary.org/obo/BSPO_0000097	distal to
6	http://purl.obolibrary.org/obo/BSPO_0000098	dorsal to
7	http://purl.obolibrary.org/obo/BSPO_0000099	posterior to
8	http://purl.obolibrary.org/obo/BSPO_0000100	proximal to
9	http://purl.obolibrary.org/obo/BSPO_0000102	ventral to
10	http://purl.obolibrary.org/obo/BSPO_0000107	deep to
11	http://purl.obolibrary.org/obo/BSPO_0000108	superficial to
12	http://purl.obolibrary.org/obo/BSPO_0000120	in left side of
13	http://purl.obolibrary.org/obo/BSPO_0000121	in right side of
14	http://purl.obolibrary.org/obo/BSPO_0000122	in posterior side of
15	http://purl.obolibrary.org/obo/BSPO_0000123	in anterior side of
16	http://purl.obolibrary.org/obo/BSPO_0000124	in proximal side of
17	http://purl.obolibrary.org/obo/BSPO_0000125	in distal side of
18	http://purl.obolibrary.org/obo/BSPO_0000126	in lateral side of
19	http://purl.obolibrary.org/obo/BSPO_0001100	in superficial part of
20	http://purl.obolibrary.org/obo/BSPO_0001101	in deep part of
21	http://purl.obolibrary.org/obo/BSPO_0001106	proximalmost part of
22	http://purl.obolibrary.org/obo/BSPO_0001107	immediately deep to
23	http://purl.obolibrary.org/obo/BSPO_0001108	distalmost part of
24	http://purl.obolibrary.org/obo/BSPO_0001113	preaxialmost part of
25	http://purl.obolibrary.org/obo/BSPO_0001115	postaxialmost part of
26	http://purl.obolibrary.org/obo/BSPO_0005001	intersects midsagittal plane of
27	http://purl.obolibrary.org/obo/BSPO_0015009	immediately anterior to
28	http://purl.obolibrary.org/obo/BSPO_0015012	immediately posterior to
29	http://purl.obolibrary.org/obo/BSPO_0015014	immediately superficial to
30	http://purl.obolibrary.org/obo/BSPO_0015101	in dorsal side of
31	http://purl.obolibrary.org/obo/BSPO_0015102	in ventral side of
32	http://purl.obolibrary.org/obo/BSPO_0015202	aboral to
33	http://purl.obolibrary.org/obo/BSPO_0020001	in central side of
34	http://purl.obolibrary.org/obo/RO_0001015	location of
35	http://purl.obolibrary.org/obo/RO_0001025	located in
36	http://purl.obolibrary.org/obo/RO_0002002	has 2D boundary
37	http://purl.obolibrary.org/obo/RO_0002005	innervated by
38	http://purl.obolibrary.org/obo/RO_0002007	bounding layer of
39	http://purl.obolibrary.org/obo/RO_0002086	ends after
40	http://purl.obolibrary.org/obo/RO_0002087	immediately preceded by
41	http://purl.obolibrary.org/obo/RO_0002131	overlaps
42	http://purl.obolibrary.org/obo/RO_0002134	innervates
43	http://purl.obolibrary.org/obo/RO_0002150	continuous with
44	http://purl.obolibrary.org/obo/RO_0002156	derived by descent from
45	http://purl.obolibrary.org/obo/RO_0002163	spatially disjoint from
46	http://purl.obolibrary.org/obo/RO_0002170	connected to
47	http://purl.obolibrary.org/obo/RO_0002176	connects
48	http://purl.obolibrary.org/obo/RO_0002177	attached to part of
49	http://purl.obolibrary.org/obo/RO_0002178	supplies
50	http://purl.obolibrary.org/obo/RO_0002179	drains
51	http://purl.obolibrary.org/obo/RO_0002180	has component
52	http://purl.obolibrary.org/obo/RO_0002202	develops from
53	http://purl.obolibrary.org/obo/RO_0002203	develops into
54	http://purl.obolibrary.org/obo/RO_0002207	directly develops from
55	http://purl.obolibrary.org/obo/RO_0002219	surrounded by
56	http://purl.obolibrary.org/obo/RO_0002220	adjacent to
57	http://purl.obolibrary.org/obo/RO_0002221	surrounds
58	http://purl.obolibrary.org/obo/RO_0002222	temporally related to
59	http://purl.obolibrary.org/obo/RO_0002223	starts
60	http://purl.obolibrary.org/obo/RO_0002225	develops from part of
61	http://purl.obolibrary.org/obo/RO_0002226	develops in
62	http://purl.obolibrary.org/obo/RO_0002229	ends
63	http://purl.obolibrary.org/obo/RO_0002230	ends with
64	http://purl.obolibrary.org/obo/RO_0002252	connecting branch of
65	http://purl.obolibrary.org/obo/RO_0002254	has developmental contribution from
66	http://purl.obolibrary.org/obo/RO_0002255	developmentally contributes to
67	http://purl.obolibrary.org/obo/RO_0002256	developmentally induced by
68	http://purl.obolibrary.org/obo/RO_0002258	developmentally preceded by
69	http://purl.obolibrary.org/obo/RO_0002285	developmentally replaces
70	http://purl.obolibrary.org/obo/RO_0002286	developmentally succeeded by
71	http://purl.obolibrary.org/obo/RO_0002320	evolutionarily related to
72	http://purl.obolibrary.org/obo/RO_0002323	mereotopologically related to
73	http://purl.obolibrary.org/obo/RO_0002324	developmentally related to
74	http://purl.obolibrary.org/obo/RO_0002328	functionally related to
75	http://purl.obolibrary.org/obo/RO_0002351	has member
76	http://purl.obolibrary.org/obo/RO_0002371	attached to
