kind	item	value	rc	class	note
instrument	ruler	git grep -l --fixed-strings <basename> origin/main -- .github/	-	valid	colon-count of git grep -c lied; files-with-matches is truthful
instrument	positive_control	concept_status_gate.sh	-	valid	origin/main:.github/workflows/ci.yml (ci.yml:68)
instrument	source_sha	f9b314736421f6cff0ca02ffe02c6cb7def71a0a	-	-	origin/main #1963
instrument	cheap_oracle	worktree bin/souc → Madaros v0.80.0	-	-	SKIP_BUILD=1 on /workspace/.wt/ontology-ci-audit
instrument	heavy_oracle	Slurm r770 isolated tarball + bin/madaros-linux-x86_64	-	-	first pass discarded (no make, no Madaros ELF)
census	self-hosted_ontolog_files	42	-	-	git grep -l -i ontolog -- self-hosted
census	stdlib_ontolog_files	101	-	-	git grep -l -i ontolog -- stdlib
census	stdlib_ontology_dir	43	-	-	git ls-files stdlib/ontology/**
census	stdlib_compiler_ontology_dir	7	-	-	impact classifier marks only this stdlib slice
census	stdlib_data_ontology_dir	24	-	-	not marked ontology=true
census	tests_ontolog_named	161	-	-	git ls-files tests/** | rg -i ontolog
census	kernel_run_pass_ontology_star	42	-	-	reserved prefix
census	kernel_compile_fail_ontology_star	111	-	-	reserved prefix
wiring	run_ontology_validation.sh	ci.yml:313	-	WIRED	if impact.ontology|full
wiring	ontology_cli_smoke_gate.sh	ci.yml:316	-	WIRED	if impact.ontology|full; skip-as-pass if patched CLI will not compile
wiring	madaros_ontology_enforcement_gate.sh	ci.yml:702	-	WIRED	fresh Madaros ELF; E158 both engines
wiring	unwired_count	14	-	-	17 named scripts minus 3
gate	generated_ontology_manifest_gate.sh	0	0	GREEN	nine-bundle MANIFEST.tsv
gate	generated_ontology_gate.sh	0	0	GREEN	--check; git clean after regen; GHA child only
gate	ontology_cache_compile_gate.sh	0	0	GREEN	stdlib/ontology/cache.sio compile+run
gate	ontology_model_compile_gate.sh	0	0	GREEN	stdlib/ontology/model.sio compile+run
gate	ontology_query_compile_gate.sh	0	0	GREEN	stdlib/ontology/query.sio compile+run
gate	ontology_reasoner_compile_gate.sh	0	0	GREEN	stdlib/ontology/reasoner.sio compile+run
gate	ontology_typed_bridge_gate.sh	0	0	GREEN	E152 bad GO subsumption refused
gate	build_ontology_validation_souc.sh	0	0	GREEN	isolated WORK_DIR; wrapper built (checked-in ELF preferred)
gate	ontology_unit_metadata_gate.sh	1	1	RED-STALE	mg_dL grepped in lean_single.sio; live register is check/units.sio:256
gate	ontology_bundle_directive_gate.sh	1	1	RED-STALE	sibling refused as E009; gate greps 'cannot prove ontology subsumption'
gate	knowledge_context_phase2_ontology_gate.sh	1	1	RED-STALE	EACCES on lean_frontend ELF (no chmod); diabetes witness unmeasured
gate	ontology_cache_frontend_composition_gate.sh	1	1	RED-STALE	check OK; souc run dies native thin-link rc=12; cache unmeasured
gate	ontology_bundle_directive_native_scan_gate.sh	1	1	RED-STALE	E010 sidecar probe 2-arg vs check_items_verdict_boot4_with_ontocache_sidecar 3-arg
gate	ontology_hash_benchmark.sh	1	1	RED-STALE	calls deleted ontology_run_cli(); benchmark not validator; die
class_count	GREEN	8	-	-	may name first
class_count	RED-REAL	0	-	-	no axiom hole measured by the 14
class_count	RED-STALE	6	-	-	gate aged
class_count	INDETERMINATE	0	-	-	after isolated re-run
escalation	madaros_vs_lean_ontology_axiom	none from the 14	-	-	wired E158 gate already exists; not re-accused
impact	classifier_ontology_paths	stdlib/compiler/ontology/* scripts/ci/*ontology* docs/ontology/*	-	hole	stdlib/ontology/* does not flip ontology=true
skip	run_ontology_validation_seq_probe	return 0 if Seq compile fails	-	hole	hides cache/model/query/reasoner/typed_bridge/cli_smoke
skip	ontology_cli_smoke_compile_fail	exit 0	-	hole	wired job is a no-op; ontology_run_cli gone
propose	name_first	manifest generated cache model query reasoner typed_bridge	-	-	independent steps; do not wire today
propose	repair_then_name	bundle_directive unit_metadata native_scan knowledge_context cache_frontend	-	-	do not wire red
propose	die	ontology_hash_benchmark.sh	-	-	dead CLI
propose	later_rewiring	classify_ci_impact marks stdlib/ontology/** and data/ontology and self-hosted ontology files	-	-	this is what approaches 'practically everything'
