ATTEMPT_INDEX	ORDINAL	SAMPLE_CLASS	STRATUM	NODE_ID	LIOUVILLE_CARRIER	STATUS	WORKER_RC	ELAPSED_MS	INPUT_SHA256	MANIFEST_ROW_SHA256	CELL_CHALLENGE	ATTEMPT_BINDING	STDOUT_SHA256	STDERR_SHA256	VERIFICATION_SHA256	CORE_RECEIPT_SHA256	PHYSICAL_SHA256	REFERENCE_PHYSICAL_SHA256	INITIAL_HULL_SHA256	MUTATION_TESTS	MUTATIONS_REJECTED	ALL_FINITE	DETERMINANT_JOINT_COMPATIBLE	C1_DET	C2_HULL_DET	LIOUVILLE_DET	CHART_TUPLE	PROBE_PASS	CERTIFICATE_PASS	SUBDIVISION_REQUIRED
1	1	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000000_S03-0000000003	C0HOTripletonSet	CAPD_SET_RQ_NAN	1	5940	1b463e8a4ad4c68d0659e4decf0e6c232e6383e65a1997bc8193eba66e33a317	b5b90eee02bd7b50d81b504dc92f4639d30b4db326d421de1bf28e5bb7874301	6c09e8c1a9b433ce5f86e251e6402e10d2b0f1d2f3ba4febae1d573bf50cb38d	58533f9f4a4809371a16d761a398246d1e33b2bb094824431087608e079a7af9	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0b01c13c169dceafb5b1a82877b3b8fd03d27f9b0a75039f7f2052d325c9e9f6	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0	0	false	false	-	-	-	-	false	false	true
2	1	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000000_S03-0000000003	C0HORect2Set	VERIFIED_COMPLETE	0	5974	1b463e8a4ad4c68d0659e4decf0e6c232e6383e65a1997bc8193eba66e33a317	b5b90eee02bd7b50d81b504dc92f4639d30b4db326d421de1bf28e5bb7874301	6c09e8c1a9b433ce5f86e251e6402e10d2b0f1d2f3ba4febae1d573bf50cb38d	3e32f86d6c9cf7030f99bb5f730175e2d6459e82b2d15bde9968e8a0acc8027d	9bba1b6ef3e4ed2c0dd33cc3ef045c2aec4307e94754704b0058f32836a5a81f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	2022b65fd04cdb78b7eb2e84b4a69a978d04f1c33700950d9617940ef4baf46c	647081de95ec5308ed8cd4336d3f8ae5bf1271a6943a399070789c604b7137a8	36a3f1f22f49cb5bb8545d2eb1b6a04d9e00454bc8f15fff293fcc1758871fd4	b94cf400a90bf1115a65c61f2cfcc72ad39735a8e95eb19070f3da4776785fae	c75773e029f59bd6a903ec70ed0df024e17526519442c0daf6461c6763c9eca0	93	93	true	true	[-0x1.7b775b33f3f18p-12,0x1.7ebba1355f08bp-12]	[-0x1.7b775b33f3f18p-12,0x1.7ebba1355f08bp-12]	[-0x1.060c4daab5743p-35,-0x1.e9939fc982ae2p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
3	1	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000000_S03-0000000003	C0Rect2Set	VERIFIED_COMPLETE	0	5729	1b463e8a4ad4c68d0659e4decf0e6c232e6383e65a1997bc8193eba66e33a317	b5b90eee02bd7b50d81b504dc92f4639d30b4db326d421de1bf28e5bb7874301	6c09e8c1a9b433ce5f86e251e6402e10d2b0f1d2f3ba4febae1d573bf50cb38d	f75eae9059ee5a914c40b1f2413ea5b02427ea88e73e908ea9a1dd88459a1bf6	8f377ec599f315b4a318b83b1a67daac3088e609f29a8289696d5a299c1e5f1f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	6e74bd99cc4a202b31d10cc4576945d882fbcade05db6a9402d274d63051f34a	5929af24db9bbecaada6b7ee672e09753eaec95235087bd6786db7d268b1d5ea	0c22bf522d481af2b935e8f6e0d9a84637fd727fa8db3714f4fa3f597c601d0d	b94cf400a90bf1115a65c61f2cfcc72ad39735a8e95eb19070f3da4776785fae	c75773e029f59bd6a903ec70ed0df024e17526519442c0daf6461c6763c9eca0	93	93	true	true	[-0x1.7b775b33f3f18p-12,0x1.7ebba1355f08bp-12]	[-0x1.7b775b33f3f18p-12,0x1.7ebba1355f08bp-12]	[-0x1.066275cb6a2efp-35,-0x1.e8f1e550de0f4p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
4	2	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000001_S03-0000000000	C0HOTripletonSet	CAPD_SET_RQ_NAN	1	5917	0f00eace4d3f3529b84d91f4a26c4f9e8be0c1fbd5e726aad4478e425337bf46	722dd5d840d8051a23dfe3137dabb55539990772e7fc29ca68fea88316e1004c	141925c844b0d478d0d8baeba58123737ee93d65574f2a8ea13e2e5ade1ef06d	4d438595e82941e27c5f6ce432365d6b9df9cb0ec97c6fd18694c902071101cc	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	95fd3a60c6f9f411f7bed2a10a1515e1366537e7234e25afb46477209efe3342	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0	0	false	false	-	-	-	-	false	false	true
5	2	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000001_S03-0000000000	C0HORect2Set	VERIFIED_COMPLETE	0	5970	0f00eace4d3f3529b84d91f4a26c4f9e8be0c1fbd5e726aad4478e425337bf46	722dd5d840d8051a23dfe3137dabb55539990772e7fc29ca68fea88316e1004c	141925c844b0d478d0d8baeba58123737ee93d65574f2a8ea13e2e5ade1ef06d	d8aded09fe9a9c82ecba4c554f3808a1e0f51b7fa227a8641c6fb8cc80791b39	69ff87f91725190276562ab6476fb2cc3085d09df73858f8028baedec86b64b7	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	14cea58bece552bb46214545a8ac5489105d66ab60996b93113feab660a5dd60	ba58138489f5c1cd801388079838fa64bc8727bae93e1accc0613aabde9287e0	e51e19582ad0c0a598e3c53b1eae19a71e362a302e27ba98111df7c98f3bfc5a	f6a6afa7cebc5f877fad7e0fc9f60a62d387e8fe41be726a60e133f13da27603	5e16bf28cf8b689f940874bd9e49667fa79b466561b362b4a3db80097492af10	93	93	true	true	[-0x1.7cbed5a3863e1p-12,0x1.860929e8a68acp-12]	[-0x1.7cbed5a3863e1p-12,0x1.860929e8a68acp-12]	[-0x1.0b44decbf9cd8p-35,-0x1.f3b05b1318bdep-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
6	2	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000001_S03-0000000000	C0Rect2Set	VERIFIED_COMPLETE	0	5748	0f00eace4d3f3529b84d91f4a26c4f9e8be0c1fbd5e726aad4478e425337bf46	722dd5d840d8051a23dfe3137dabb55539990772e7fc29ca68fea88316e1004c	141925c844b0d478d0d8baeba58123737ee93d65574f2a8ea13e2e5ade1ef06d	90f7baeaaf943b7969e132169d3a59cec6e3d025ec1fdeabcdcd0181125269a6	3ee252f9161ce80379221e070be56cf01f60c0ca2fa549dca865f879908fc266	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	9a1e70e09e935353174501e1879cd09376d86158185d83598d63364e0271a8a7	627bb3745b4d4ba636b07535aecf7ace7952b763a2ade7b3c267dbfe5857bbfa	c51ac9a1eb5158724b0edbe00294debd2a502607a2511296bcdd90ac8b4d4c1a	f6a6afa7cebc5f877fad7e0fc9f60a62d387e8fe41be726a60e133f13da27603	5e16bf28cf8b689f940874bd9e49667fa79b466561b362b4a3db80097492af10	93	93	true	true	[-0x1.7cbed5a3863e1p-12,0x1.860929e8a68acp-12]	[-0x1.7cbed5a3863e1p-12,0x1.860929e8a68acp-12]	[-0x1.0b9ba5e3bd2e3p-35,-0x1.f30cec04fcf67p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
7	3	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000001_S03-0000000007	C0HOTripletonSet	CAPD_SET_RQ_NAN	1	5941	aaaff87d1b3ab4b4ef2e94fdf010613d86619e4e029f8b379831283a1c389944	178c259b7d66c813606887a870873615e9949e94fda353cdd8e2417471e85470	f43e1fc2e41ce9191b2c05d2b19e92347382f8c823393c208d0f7f9a277717d1	48120d7b68168dbbc2695628173b0e57f9df7fb2dd03c40847c11d020470fc47	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0cd8fd58b3a0693514788f26ba2dda9091450d2ed2230ac589b4833f66060120	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0	0	false	false	-	-	-	-	false	false	true
8	3	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000001_S03-0000000007	C0HORect2Set	VERIFIED_COMPLETE	0	5974	aaaff87d1b3ab4b4ef2e94fdf010613d86619e4e029f8b379831283a1c389944	178c259b7d66c813606887a870873615e9949e94fda353cdd8e2417471e85470	f43e1fc2e41ce9191b2c05d2b19e92347382f8c823393c208d0f7f9a277717d1	386391207f31cdac4181e446992a07c2d7da13b0283296e7abecd5a7d96129c7	10b8a0c441b06890a88327f8dce0fcc4eec50bfa8e2010fef38d0ca3efcb5640	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	20c0fe6dc1fa87b44c99c34233dd36fffed7d7598b7915146e7ee28acc66ea25	7c7ad357e667400d439266f8006988ce6519e1d54852fabca19a85938cb6ee37	fabae843eb46771b0d9adc0fe5da27f751e3e666a3204af16f3fefab911827fc	49e921571d8f3e1ba699bdf7841b82c68efd40003b8ba1820480a55598b53d12	481e86927d77f79e4d08aae6dfc12d8ecca13b5f304cd3b9a08462f5292377e1	93	93	true	true	[-0x1.7e87d45250298p-12,0x1.7b37e2aa82e7dp-12]	[-0x1.7e87d45250298p-12,0x1.7b37e2aa82e7dp-12]	[-0x1.fd429861155b7p-36,-0x1.db3f5a1e6a516p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
9	3	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000001_S03-0000000007	C0Rect2Set	VERIFIED_COMPLETE	0	5748	aaaff87d1b3ab4b4ef2e94fdf010613d86619e4e029f8b379831283a1c389944	178c259b7d66c813606887a870873615e9949e94fda353cdd8e2417471e85470	f43e1fc2e41ce9191b2c05d2b19e92347382f8c823393c208d0f7f9a277717d1	5a48a2bda824961d4ccec5ad3369f5cb7d4512c04f6c82f337d1ce418dc5c051	d9364c948803e72d1ad182d3257524bd38cd4b6c62bc636de91077c71b6d4d49	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	8d1e1abdc6f1037d74fcb9c04abe5c0036f1ca0fb0f87150ad083a7665e3605e	8367779673dc3c18f0fd6b570eced51fc7846b7a1429122764a3a9fbf6e4b6ec	c9a650ad69d3fec6918b757d46079a306888e56f8f8611172c59a2cbed94aa20	49e921571d8f3e1ba699bdf7841b82c68efd40003b8ba1820480a55598b53d12	481e86927d77f79e4d08aae6dfc12d8ecca13b5f304cd3b9a08462f5292377e1	93	93	true	true	[-0x1.7e87d45250298p-12,0x1.7b37e2aa82e7dp-12]	[-0x1.7e87d45250298p-12,0x1.7b37e2aa82e7dp-12]	[-0x1.fdf7bbe5bcb7ep-36,-0x1.da92977518f79p-36]	X:-1,NONE:0,PLUS:-1,NONE:0	false	false	true
10	4	CAPD_SET_TARGET	CAPD_U2_S3	U02-0000000002_S03-0000000001	C0HOTripletonSet	CAPD_SET_RQ_NAN	1	5917	be78b0dceb277ec4535d03fed4dfa882e2b56a0ed0a572c8160f174d4b63ab5a	9b5ff7e31ac757064c23984d037bf27ae69f43e4ffd4cf5f8556f13ae3b1b991	a73efb1582ad9facae745ee95520ea5ee627f224b8c3b1cfaf27a1c56fe75ece	e357fb87b3ac24c7dc9e1e63a7809ab15fe774199f5e63dbe8e6825f97cc4620	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	521626c13584b67c6fac9023e3f0f01911419643c1ecb0dad37e82649ae93f59	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0000000000000000000000000000000000000000000000000000000000000000	0	0	false	false	-	-	-	-	false	false	true
