source,target,weight
engels,taal,59
aandacht,luisteren,19
aangenaam,fijn,16
aangenaam,gezellig,21
aangenaam,leuk,33
aangenaam,warm,21
aarde,grond,27
aarde,rond,28
aarde,wereld,15
actie,doen,25
actie,film,16
afrika,warm,30
afrika,zwart,22
afstand,ver,60
agressie,geweld,26
agressie,kwaad,20
agressie,slaan,18
agressie,vechten,16
agressie,woede,21
alleen,eenzaam,57
ambetant,irritant,15
ambetant,lastig,24
ambetant,vervelend,61
ambetant,x,16
amerika,groot,19
anders,vreemd,16
anders,x,19
angst,bang,27
angst,donker,15
angst,schrik,23
arm,hand,26
arm,rijk,27
armoede,geld,26
armoede,honger,26
avond,donker,56
avond,gezellig,18
avond,nacht,23
avond,rust,20
avond,slapen,15
baas,streng,19
baas,werk,31
baby,klein,40
baby,lief,16
bah,vies,76
bah,vuil,20
bal,rond,44
bal,spelen,19
bal,sport,20
bal,voetbal,51
bang,angst,34
bang,donker,32
bang,schrik,39
bank,geld,77
bed,slapen,82
bed,warm,16
bedrijf,werk,23
bedrijf,werken,24
beeld,foto,18
beeld,kunst,28
beeld,tv,27
berg,hoog,25
berg,sneeuw,41
bergen,sneeuw,44
bergen,vakantie,16
bergen,wandelen,17
beroep,geld,22
beroep,werk,25
beroep,werken,28
bescherming,politie,19
bescherming,veilig,16
betalen,geld,78
beter,goed,42
beweging,gezond,17
beweging,lopen,26
beweging,sport,29
bier,drank,15
blad,boom,64
blad,groen,20
blad,papier,56
blad,schrijven,23
blad,wit,17
blauw,kleur,15
blauw,lucht,55
blauw,water,32
blauw,zee,37
blij,gelukkig,41
blij,lachen,24
blij,vrolijk,29
bloed,pijn,25
bloed,rood,59
bloem,geur,18
bloemen,geur,15
bloemen,kleur,15
boek,lezen,65
boeken,lezen,57
bomen,bos,54
bomen,groen,52
bomen,natuur,18
boom,blad,28
boom,bos,22
boom,groen,32
boos,kwaad,61
boot,water,52
boot,zee,40
bos,bomen,45
bos,boom,29
bos,groen,40
bril,lezen,17
bril,ogen,17
broek,lang,16
brood,eten,27
brood,wit,19
bruin,kleur,27
bruin,zon,20
buiten,koud,15
buiten,lucht,16
buiten,natuur,20
buiten,tuin,24
controle,politie,37
cultuur,kunst,25
cultuur,muziek,20
dansen,feest,16
dansen,muziek,40
dansen,plezier,20
deur,hout,23
deur,huis,16
deur,open,24
dier,hond,50
dier,kat,40
dier,paard,16
dieren,hond,28
dieren,kat,25
dik,eten,17
dik,vet,52
discussie,gesprek,27
discussie,ruzie,32
doel,voetbal,32
doen,actie,34
doen,werken,28
doen,x,17
dokter,pijn,18
dokter,wit,15
dokter,ziek,31
dom,slim,31
dom,stom,23
dom,x,23
donker,licht,28
donker,nacht,53
donker,slapen,18
donker,zwart,33
dood,verdriet,23
dood,zwart,19
drank,bier,25
drank,water,24
drinken,bier,36
drinken,glas,15
drinken,water,45
dromen,slapen,39
droog,nat,38
droog,zon,15
drugs,slecht,17
druk,stress,43
druk,werk,23
drukte,lawaai,19
drukte,mensen,25
drukte,stad,15
duur,geld,49
duur,tijd,21
economie,geld,61
eenzaam,alleen,79
eenzaam,triest,18
eenzaam,zielig,17
einde,dood,23
emotie,gevoel,34
emotie,lachen,23
emotie,verdriet,25
energie,kracht,21
eng,bang,30
eng,donker,15
eten,drinken,16
eten,honger,25
eten,lekker,45
examen,school,16
examen,stress,52
examen,studeren,15
familie,gezin,18
familie,kinderen,16
familie,ouders,25
fantasie,dromen,26
feest,dansen,17
feest,drank,18
feest,muziek,26
feest,vrienden,23
fietsen,sport,16
fijn,aangenaam,16
fijn,leuk,46
fijn,tof,22
foto,vakantie,15
fout,rood,16
fout,verkeerd,36
fris,koud,39
fruit,gezond,31
fruit,lekker,19
gebouw,groot,15
gebouw,huis,35
geel,kleur,20
geel,zon,56
geheim,x,20
geld,rijk,26
geloof,god,39
geloof,godsdienst,15
geloof,kerk,46
geluid,lawaai,29
geluid,muziek,57
geluk,blij,15
geluk,liefde,24
gelukkig,blij,44
gemakkelijk,moeilijk,34
gemeen,slecht,18
gemeen,stout,21
genieten,vakantie,21
genieten,zon,23
gerecht,eten,44
gerecht,lekker,17
geschiedenis,saai,17
geschiedenis,school,22
gesprek,praten,30
geur,lekker,15
geur,neus,25
geur,stank,27
gevaar,angst,15
gevaarlijk,x,20
gevecht,bloed,27
gevecht,oorlog,17
gevecht,pijn,20
gevecht,ruzie,17
geven,liefde,16
gevoel,emotie,23
gevoel,liefde,19
geweld,oorlog,32
geweld,pijn,24
geweld,vechten,18
gezellig,leuk,18
gezellig,vrienden,19
gezellig,warm,20
gezelligheid,thuis,17
gezelligheid,vrienden,19
gezelligheid,warmte,23
gezicht,mond,15
gezicht,mooi,19
gezicht,neus,19
gezicht,ogen,36
gezin,familie,42
gezin,kinderen,47
gezin,ouders,19
gezond,eten,20
gezond,fruit,24
gezond,groenten,16
gezond,sport,28
gezondheid,belangrijk,15
gezondheid,dokter,21
gezondheid,ziekte,16
glad,ijs,79
glas,drinken,37
glas,water,29
god,geloof,20
god,kerk,27
godsdienst,geloof,16
godsdienst,god,21
godsdienst,kerk,31
goed,beter,24
goed,slecht,17
goedkoop,duur,16
goud,duur,18
goud,geel,22
goud,geld,22
goud,rijk,19
grappig,lachen,53
grappig,leuk,28
gras,groen,90
gras,tuin,19
gras,zomer,23
grijs,kleur,16
grijs,oud,36
grijs,wit,17
grijs,zwart,22
groen,boom,15
groen,gras,67
groen,kleur,22
groen,natuur,17
groenten,fruit,23
groenten,gezond,47
groenten,groen,15
groenten,lekker,17
groep,mensen,27
groep,samen,15
grond,aarde,61
grond,bruin,19
grond,zand,16
groot,klein,45
haar,lang,23
handen,werken,26
handig,gemakkelijk,23
hard,pijn,17
hard,steen,44
hard,zacht,40
hart,bloed,28
hart,liefde,40
hart,rood,34
heerlijk,eten,17
heerlijk,fijn,17
heerlijk,lekker,46
heerlijk,zalig,19
herfst,kleuren,30
hobby,ontspanning,20
hond,kat,18
honger,afrika,15
honger,eten,66
hoofd,gezicht,18
hoofd,haar,45
hoofd,neus,21
hoofd,ogen,30
hoog,berg,21
hoop,geloof,15
hoop,leven,36
hout,boom,47
hout,bos,26
hout,vuur,24
huid,zacht,25
huis,deur,16
huis,thuis,26
huis,tuin,26
huwelijk,feest,28
huwelijk,samen,15
huwelijk,trouw,33
ijs,koud,55
ijs,lekker,25
ijs,zomer,26
ijzer,grijs,19
ijzer,hard,24
ijzer,metaal,27
ijzer,sterk,15
ik,vrouw,18
informatie,kennis,19
informatie,krant,15
interessant,leuk,16
irritant,ambetant,20
irritant,vervelend,49
jammer,x,22
jeugd,jong,41
jong,kind,30
jong,oud,18
jongen,kind,16
jongen,man,26
jongen,meisje,54
jongeren,jeugd,28
jongeren,school,17
jongeren,uitgaan,16
juist,fout,28
juist,goed,35
kaas,geel,41
kaas,lekker,20
kamer,ruimte,23
kamer,slapen,24
kapot,stuk,74
kapot,x,15
karakter,slecht,15
kast,hout,35
kast,kleren,41
kat,hond,26
kat,lief,17
kat,zacht,19
kennis,slim,20
kennis,vriend,37
kennis,wetenschap,16
keuken,eten,61
keuken,koken,42
keuze,moeilijk,27
keuze,vrijheid,18
kijken,bril,19
kijken,ogen,47
kind,jong,22
kind,klein,30
kind,spelen,17
kinderen,klein,23
kinderen,spelen,28
kindertijd,spelen,46
klas,school,42
kledij,broek,30
kledij,mode,20
kleding,broek,31
kleding,mode,15
klein,groot,48
klein,kind,20
kleren,broek,27
kleren,mode,19
kleren,winkel,21
kleur,blauw,46
kleur,geel,29
kleur,groen,33
kleur,rood,51
kleuren,blauw,33
kleuren,geel,28
kleuren,groen,27
kleuren,rood,53
knap,mooi,77
knap,slim,35
koffie,melk,30
koffie,warm,21
koffie,zwart,41
koken,eten,36
koken,lekker,32
kopen,geld,61
kopen,winkel,16
kort,haar,27
kort,klein,20
kort,lang,51
kou,sneeuw,34
kou,winter,53
koud,ijs,41
koud,sneeuw,37
koud,warm,26
koud,winter,64
kracht,sterk,53
krant,lezen,29
krant,nieuws,50
kwaad,boos,62
lachen,blij,17
lachen,plezier,34
lang,groot,23
lang,haar,19
lang,kort,46
lang,x,16
lastig,ambetant,18
lastig,moeilijk,57
lastig,vervelend,36
lastig,zwaar,18
lawaai,geluid,17
lawaai,muziek,18
leeg,niets,25
leger,groen,25
leger,oorlog,47
lekker,eten,45
lekker,snoep,19
lelijk,mooi,32
lelijk,vies,22
lente,bloemen,30
lente,groen,26
lente,zomer,17
lente,zon,42
leren,school,39
leren,studeren,40
les,leren,27
les,saai,31
les,school,24
leuk,aangenaam,15
leuk,fijn,24
leuk,plezant,24
leuk,tof,19
leven,dood,39
lezen,boek,84
licht,donker,26
licht,zon,43
lief,zacht,21
liefde,hart,20
liefde,rood,29
lopen,sport,22
lucht,blauw,53
lui,moe,41
luid,hard,15
luid,lawaai,47
luid,muziek,41
luisteren,aandacht,17
luisteren,muziek,23
luxe,geld,41
luxe,rijk,16
macht,geld,24
macht,kracht,20
macht,politiek,20
mama,liefde,15
mama,moeder,33
man,vrouw,69
mannen,stoer,17
mannen,vrouwen,41
massa,mensen,18
massa,veel,45
massa,volk,23
meer,veel,18
meer,water,50
meer,zwemmen,16
meisje,jongen,37
meisje,mooi,19
meisje,vrouw,18
meisje,x,20
meisjes,lief,17
melk,wit,54
mens,dier,24
mens,kind,15
mens,man,24
mens,vrouw,21
mens,x,15
mensen,massa,20
mensen,veel,17
mensen,volk,22
metaal,grijs,17
metaal,hard,23
metaal,ijzer,44
metaal,koud,19
misdaad,moord,27
misdaad,politie,17
miserie,armoede,22
miserie,verdriet,15
mode,kledij,15
mode,kleding,20
moe,bed,30
moe,slapen,56
moeder,kinderen,15
moeder,liefde,15
moeder,mama,24
moeder,vader,27
moeilijk,examen,22
moeilijk,gemakkelijk,18
moeilijk,x,19
mond,eten,28
mond,tanden,31
mooi,natuur,16
moord,bloed,23
moord,dood,37
muur,huis,44
muur,rood,17
muur,steen,23
nacht,donker,76
nacht,slapen,38
nat,droog,16
nat,regen,64
nat,water,50
natuur,bomen,15
natuur,boom,22
natuur,bos,30
natuur,groen,46
nederland,kaas,36
nederland,oranje,18
negatief,positief,39
negatief,slecht,35
net,proper,35
net,vis,22
netjes,proper,69
neus,gezicht,17
niet,negatief,18
niet,x,16
niets,leeg,41
nieuw,mooi,17
nieuw,oud,18
nieuws,krant,33
nieuws,televisie,18
nieuws,tv,25
nodig,liefde,17
nodig,noodzakelijk,15
noodzakelijk,belangrijk,17
noodzakelijk,nodig,32
nuttig,handig,24
nuttig,nodig,20
nuttig,x,16
ogen,blauw,45
ogen,bril,19
ogen,kijken,19
ogen,mooi,26
oma,lief,29
oma,oud,47
onaangenaam,vervelend,24
onderzoek,dokter,24
oneerlijk,vals,29
ongeluk,auto,39
ongelukkig,triest,15
ongelukkig,verdriet,23
ongeval,auto,40
ongeval,pijn,27
ongezond,dik,23
ongezond,snoep,17
ongezond,vet,22
ongezond,ziek,19
onnodig,teveel,19
onnodig,x,23
ontspannen,genieten,16
ontspanning,rust,15
ontspanning,sport,18
oorlog,dood,18
open,deur,43
oplossing,probleem,38
oranje,kleur,26
oranje,nederland,29
oud,jong,19
oud,oma,24
ouders,moeder,25
ouders,thuis,15
ouders,vader,26
ouderwets,oud,18
paard,dier,17
papier,boom,19
papier,schrijven,36
papier,wit,35
persoon,man,23
persoon,mens,51
persoon,vrouw,17
persoonlijk,ik,28
pijn,bloed,18
pijn,x,18
plaats,ruimte,22
plaats,stad,27
plant,groen,67
plant,water,19
plat,x,25
plezant,fijn,17
plezant,lachen,20
plezant,leuk,39
plezant,tof,17
plezant,vrienden,15
plezier,lachen,36
plezier,leuk,18
plezier,vrienden,27
politie,blauw,42
politiek,saai,15
positief,goed,39
positief,negatief,30
praten,mond,18
prettig,aangenaam,34
prettig,fijn,15
prettig,leuk,52
probleem,moeilijk,15
probleem,oplossing,36
problemen,oplossing,17
proper,net,16
proper,netjes,15
proper,vuil,20
raar,gek,19
raar,vreemd,59
reclame,tv,23
regen,koud,17
regen,nat,66
reis,vakantie,26
