# UNLEARNING_QUADRANT_2026-08-19
# sha	f79c93c772
# intent	try to occupy the ExactlyPrivate conjunction; knockdown is the useful result
# search_date	2026-08-19
# verdict_vocab	OCCUPIED | FREE | PARTIAL | INDETERMINATE
section	item	verdict	review	year	venue_or_id	what_it_does	what_it_is_not
local	unlearning_kernel_exact	PARTIAL	in-tree	n/a	formal/lean4/SounioSurgicalInterventions.lean	native_decide 4 primitives annihilated by primA	not a trained-model forget theorem
local	E201_lower_exactly_private	PARTIAL	in-tree	n/a	self-hosted/check/check.sio	requires effect id 18 ZD; returns inner type	does not check annihilation or ker membership
local	zd_machine_unlearning_m3	PARTIAL	in-tree	n/a	examples/zd_machine_unlearning.sio	Euclidean projection W-<W,u1>u1-<W,u2>u2	not left-mult by e3+e10
local	A_circ_bob_not_bob	OCCUPIED	measured	2026-08-19	IEEE f64 CD doubling	||A*(e0+0.5 e1)-(e0+0.5 e1)||^2 = 3.75	product is not a projection
local	exact_pair_f64_zero	OCCUPIED	measured	2026-08-19	IEEE f64 CD doubling	||A*(e6-e15)||^2 = 0.0	f64 residual is not the kill-shot
local	perturb_A_1e-8	OCCUPIED	measured	2026-08-19	IEEE f64 CD doubling	||(A+1e-8 e2)*(e6-e15)||^2 = 2.00e-16	identity dies off the variety
Q1	Cauwenberghs_Poggio_SVM	OCCUPIED	peer-reviewed	2000	NIPS 2000	decremental SVM = batch without the point	not deep nets; not ZD
Q1	Cao_Yang_SQ	OCCUPIED	peer-reviewed	2015	IEEE S&P 2015	subtract sample from summation form	restricted to SQ-shaped algorithms
Q1	Ginart_kmeans	OCCUPIED	peer-reviewed	2019	NeurIPS 2019; arXiv 1907.05012	deletion-efficient k-means	clustering; supporting structures
Q1	Bourtoule_SISA	OCCUPIED	peer-reviewed	2021	IEEE S&P 2021; arXiv 1912.03817	exact via shard/slice	retrains the affected fragment
Q1	Woodbury_OLS	OCCUPIED	classical	n/a	Sherman-Morrison-Woodbury	exact rank-1 downdate of Gram inverse	linear / ridge; NLA stability separate
Q1	Izzo_deletion	PARTIAL	peer-reviewed	2021	AISTATS 2021; arXiv 2002.10077	approximate deletion; uses SM for regression	logistic is approximate
Q1	Guo_certified_removal	PARTIAL	peer-reviewed	2020	ICML 2020; arXiv 1911.03030	certified (eps) Newton + noise	not exact
Q1	Zhang_CMUMF	OCCUPIED	peer-reviewed	2023	CIKM 2023; 10.1145/3583780.3614811	closed-form MF unlearning	matrix factorisation only
Q1	general_deep_net_exact_no_retrain	FREE	surveys	2024	arXiv 2209.02299 v6	surveys still split exact=shard vs approximate	not a uniqueness claim for Sounio
Q1	field_is_all_approximate	OCCUPIED	n/a	2015	correction	the slogan is false	—
Q2	Fuzz	OCCUPIED	peer-reviewed	2010	ICFP 2010	compile-time sensitivity => DP	not unlearning
Q2	DFuzz	OCCUPIED	peer-reviewed	2013	POPL 2013	linear dependent sensitivity	not unlearning
Q2	Duet	OCCUPIED	peer-reviewed	2019	OOPSLA 2019; arXiv 1909.02481	dual linear types; SGD-shaped DP	not unlearning
Q2	Jif	OCCUPIED	peer-reviewed	1999	POPL 1999	information-flow confidentiality	not unlearning
Q2	Eisenhofer_verifiable	PARTIAL	peer-reviewed	2025	SaTML 2025; arXiv 2210.09126	SNARK that agreed procedure ran	not a type system; not compile-time
Q2	compile_time_forgetting_types	FREE	search S17	2026-08-19	certified/verifiable + type/compile-time	no hit	absence != impossibility
Q3	Saoud_sedenion_NN	FREE	peer-reviewed	2020	IEEE Access	forecasting with sedenion NN	not privacy / unlearning
Q3	Reggiani_geometry	FREE	preprint	2024	arXiv 2411.18881	geometry of Z(S)	cites ML; does not erase points
Q3	Moreno_1998	FREE	peer-reviewed	1998	Bol. Soc. Mat. Mexicana; q-alg/9710013	ker L_a structure	algebra, not privacy
Q3	Cawagas_2004	FREE	peer-reviewed	2004	Discussiones Mathematicae 24(2)	84 pairs in 7 quasi-octonions	algebra, not privacy
Q3	octonion_FHE_patent	FREE	patent	2019	US20190007196A1	octonion FHE	octonions have no zero-divisors
Q3	ZD_as_unlearning_operator	FREE	search S13	2026-08-19	zero-divisor + privacy/unlearning + CD	no hit in the search set	theses/workshops undeclared
Q4	Moreno_thin_variety	PARTIAL	peer-reviewed	1998	q-alg/9710013	generic perturbation of A has ker={0}	does not name unlearning
Q4	Bojanczyk_downdate	PARTIAL	peer-reviewed	1987	SIAM J. Sci. Stat. Comput. 8	Cholesky downdate can be unstable	Woodbury cousin, not ZD
Q4	Higham_ASNA_omit	PARTIAL	peer-reviewed	2002	SIAM ASNA 2ed preface	update/downdate omitted; later ill-conditioned hyperbolic	not sedenions
Q4	paper_do_not_use_ZD_unlearn	FREE	search S14	2026-08-19	no such paper	Q3 empty so no rebuttal paper	—
conjunction	exact_no_retrain_AND_ZD_AND_compile_forget	FREE	this census	2026-08-19	docs/audit/UNLEARNING_QUADRANT_2026-08-19.md	no published triple	pieces exist separately
