id	iri	label
0	http://purl.obolibrary.org/obo/BFO_0000050	part of
1	http://purl.obolibrary.org/obo/BFO_0000051	has part
2	http://purl.obolibrary.org/obo/RO_0001000	derives from
3	http://purl.obolibrary.org/obo/RO_0002103	synapsed by
4	http://purl.obolibrary.org/obo/RO_0002120	synapsed to
5	http://purl.obolibrary.org/obo/RO_0002130	has synaptic terminal in
6	http://purl.obolibrary.org/obo/RO_0002131	overlaps
7	http://purl.obolibrary.org/obo/RO_0002134	innervates
8	http://purl.obolibrary.org/obo/RO_0002163	spatially disjoint from
9	http://purl.obolibrary.org/obo/RO_0002170	connected to
10	http://purl.obolibrary.org/obo/RO_0002202	develops from
11	http://purl.obolibrary.org/obo/RO_0002203	develops into
12	http://purl.obolibrary.org/obo/RO_0002207	directly develops from
13	http://purl.obolibrary.org/obo/RO_0002210	directly develops into
14	http://purl.obolibrary.org/obo/RO_0002220	adjacent to
15	http://purl.obolibrary.org/obo/RO_0002225	develops from part of
16	http://purl.obolibrary.org/obo/RO_0002254	has developmental contribution from
17	http://purl.obolibrary.org/obo/RO_0002255	developmentally contributes to
18	http://purl.obolibrary.org/obo/RO_0002258	developmentally preceded by
19	http://purl.obolibrary.org/obo/RO_0002286	developmentally succeeded by
20	http://purl.obolibrary.org/obo/RO_0002287	part of developmental precursor of
21	http://purl.obolibrary.org/obo/RO_0002323	mereotopologically related to
22	http://purl.obolibrary.org/obo/RO_0002324	developmentally related to
23	http://purl.obolibrary.org/obo/RO_0002384	has developmental potential involving
24	http://purl.obolibrary.org/obo/RO_0002385	has potential to developmentally contribute to
25	http://purl.obolibrary.org/obo/RO_0002387	has potential to develop into
26	http://purl.obolibrary.org/obo/RO_0002388	has potential to directly develop into
27	http://purl.obolibrary.org/obo/RO_0002485	receives input from
28	http://purl.obolibrary.org/obo/RO_0002486	sends output to
