finding_id	class	left_id	left_cite	right_id	right_cite	whose	summary
C1	CONTRADICTION	ER	erasure.md:72 because:<provenance>	JST	justification.md:23-25,73-74 because: is a Lean theorem; empirical claims forbidden	derivable	attest because: slot cannot hold both provenance and a theorem; JST defines the slot
C2	CONTRADICTION	OV	ontological-validation.md:58 Fourteen never run; #1967 merge title now on main	EL	effort-location.md:44-51,152-155 invocation not coverage; a number carries how it was measured	derivable	OV body and title make a coverage claim OV:88-90 and EL forbid; #1972 12760ff48b is the instance; #1967 landing promotes the sentence
T1	TENSION	PO	pipeline-order.md:20-27 HLIR always on the path	VL	verified-lowering.md:20-21 ENIR becomes the only path	founder	two spines; both record the question as open; open in two docs is not a resolution
T2	TENSION	OV	ontological-validation.md:26-27 types are ontological terms; :99-102 bridge undefined	NID	no-implicit-degradation.md:46-56 nine-row table has no ontological-narrowing row	founder	CHEBI:9168 to f64 loses identity; nobody owns whether that is a degradation
T3	TENSION	ADM	admissibility.md:30-32,96-98 non-degraded input and domain; not ontology	OV	ontological-validation.md:25-28 terms answerable to what exists	founder	1+2 (types as terms and claims) is unwired; ABox unmentioned (see G1)
T4	TENSION	NID	no-implicit-degradation.md:54 evaluation outside domain is a degradation with no act	ADM	admissibility.md:82-87,112-114 it belongs here; do not move until an act exists	derivable	same row, two owners; ADM already states the interim rule
T5	TENSION	ER	erasure.md:78-79,99-101 exactly four sinks; closing three is a different concept	ADM	admissibility.md:74 deciding is the fifth sink	derivable	exactly-four is a closed list; ADM saves both by splitting reporting from acting
T6	TENSION	JST	justification.md:23-25,75-76 because: is a Lean theorem about the program	OV	ontological-validation.md:26-27,53-54 ontological reasoner in the compiler	founder	two proof systems, no composition rule for justifications about identity
T7	TENSION	VL	verified-lowering.md:93-95 unvalidated rewrite is Garden then Claim-ready	ML	MATURITY_LADDER.md:33-48 Reserved sits beside the ladder	derivable	an unselected rewrite is closer to reserved-taken than to Garden
T8	TENSION	OV	ontological-validation.md:88 three of seventeen gates are reachable	EL	effort-location.md:104 R REACHABLE = a cheap check exists	derivable	same word; named-by-workflow is not the S/G/R question
T9	TENSION	EL	effort-location.md:124 14 ontology gates / gate / one workflow line each	EL	effort-location.md:44-51,165-170 coverage unmeasured; measure then decide then enforce	derivable	the footnote corrected the method; the worked example still prescribes wiring from the uncorrected figure
G1	GAP	OV	ontological-validation.md (ABox unmentioned)	ADM	admissibility.md (ABox unmentioned)	founder	claim-validation has no individual carrier; neither half of T3 names it
G2	GAP	NID	no-implicit-degradation.md:52 precision narrowed / no act	PREC	precision-preservation.md:13,33,36 executable; narrowing explicit; no silent f64 fallback	derivable	row 5 presents an executable invariant as unaddressed
G3	GAP	ML	MATURITY_LADDER.md:99 i512 seed cited as PRECISION-PRESERVATION	PREC	precision-preservation.md never names i256/i512; exactness.md:67-69 does	derivable	ML points at the floating-precision sibling for an integer-width seed
G4	GAP	PRV	provenance.md:59-63 Knowledge<T, Origem>	OV	ontological-validation.md:26-27,99-102 types are terms; bridge undefined	founder	composition of origin-class with types-as-terms is unwritten
G5	GAP	EX	exactness.md:69 i512 is a Garden seed, not a gap	ML	MATURITY_LADDER.md:93-99 same widths in no enum, should be reserved	derivable	design state versus compiler-diagnostic state; reservation has not happened
OK1	OK	ER	erasure.md:57-60 mark propagates	EX	exactness.md:60-61 narrowed exact result must be marked	n/a	one mark mechanism; NID:48 cites ER
OK2	OK	ML	MATURITY_LADDER.md:106-117 two-program test	ER	erasure.md:16-18; admissibility.md:106-108; ontological-validation.md:90-91; verified-lowering.md:93-95	n/a	ladder invoked consistently; file counts are not Claim-ready
OK3	OK	JST	justification.md:101-102 program property; validity is the paper	PREC	precision-preservation.md:37; exactness.md:62-63	n/a	matches SEMANTIC_LANE_CONTRACT.md:71 formal model != empirical claim
OK4	OK	PRV	provenance.md:72-76 constructor is the only door	NID	no-implicit-degradation.md:68-70 the act is the only door	n/a	one principle
OK5	OK	PRV	provenance.md:107-108 attest needs provenance	JST	justification.md:109; admissibility.md:70-72 floor is a proof	n/a	attest exists as the escape; because: contents still C1
OK6	OK	NID	no-implicit-degradation.md:20-21 no implicit degradation	ED	effect-declaration.md:20-22 with X requires X declared; effort-location.md:88-90 one choice	n/a	silence is not consent at three layers
OK7	OK	SD	signal-direction.md:59-60,87-88 mirror of NID; not a criticism of XPASS	EL	effort-location.md:126-133 S=no so no gate for the 9h red main	n/a	progress-as-regression is a signal defect, not a missing gate
OK8	OK	ED	effect-declaration.md:79-83,108-109 refusal waits on the tail census	EL	effort-location.md:168-170 measure then decide then enforce	n/a	same sequencing rule
OK9	OK	ADM	admissibility.md:14-16,52-56,106-108 kinds live; coupling is Hypothesis	ML	MATURITY_LADDER.md:21-24 each rung requires the rungs beneath	n/a	implemented kinds are not Claim-ready by file count
OK10	OK	VL	verified-lowering.md:20-21 vs :114-115 ruling versus do-not-claim-today	PO	pipeline-order.md:20 vs :104-105 same pattern	n/a	intent/state split is consistent; the rulings still tension as T1
NOTE_LANG	NOTE	OV	ontological-validation.md:22-23 founder quote still in Portuguese	n/a	session language rule: EN-UK on docs/internal/concepts/**	derivable	#1967 has merged so the quote is on main; next commit that touches OV, not this audit
