ATTEMPT_INDEX	PARENT_V7_ORDINAL	CHECKPOINT_ROLE	DEPTH_DELTA	NODE_ID	CARRIER	STATUS	WORKER_RC	ELAPSED_MS	INPUT_SHA256	RUN_CHALLENGE	ATTEMPT_BINDING	STDOUT_SHA256	STDERR_SHA256	SUMMARY_SHA256	C1_ORIENTATION_UNRESOLVED	C2_HULL_ORIENTATION_UNRESOLVED	EVENT1_CHARTS_CERTIFIED	EVENT2_CHARTS_CERTIFIED	HOMOGENEOUS_COMPUTATION_VALID	CERTIFICATE_PASS	PROBE_PASS
1	22	POSITIVE_CONTROL_LEFT	1	U04-0000000010_S05-0000000020	C0HORect2Set	DESCENDANT_PROBE_REJECTED	0	6712	fdc74b232548d25d0a8d144618490200488c4e09a851f00653b0a74dda59e374	6a9baddc61eb1b207e2b57719a18723d48073c89f3f8f86e72fa5647b7e95c6c	9fc621bac0ad6f7f30a88f7d386777bbfa5082c1409dd928e19ed160b7d3c101	769efae730114353a7d750633eddf64124da4f6578cb5d0aa25037211fa6d35a	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e9a1c213100e4463d6767628b37730c66a66dc26e71636d3528843da8ad874f3	true	true	false	false	false	false	false
2	22	POSITIVE_CONTROL_LEFT	1	U04-0000000010_S05-0000000020	C0Rect2Set	DESCENDANT_PROBE_REJECTED	0	6144	fdc74b232548d25d0a8d144618490200488c4e09a851f00653b0a74dda59e374	6a9baddc61eb1b207e2b57719a18723d48073c89f3f8f86e72fa5647b7e95c6c	eeca0d44988d1bd268abd95d0c2fd8105c6f7f1f288b94aecd08750ff55b6de2	f49b60e4d3c2769345f8a425ddc1d1f80667d13639fe598048dc967d86e0e699	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e9a1c213100e4463d6767628b37730c66a66dc26e71636d3528843da8ad874f3	true	true	false	false	false	false	false
3	22	POSITIVE_CONTROL_LEFT	2	U05-0000000020_S06-0000000040	C0HORect2Set	DESCENDANT_PROBE_REJECTED	0	6370	b1d6b59e3441e4fd4fe9a1b3723d4dc28a03afcb9ce82072d7a206ddab2b868f	5a95fe433d07466d07e8f3802fc17dc2fa4e3a0ef49803489f90c04672da8475	7ef28767bc58b0c780731eff687e35b4dc25e18f9e8046920a47656e62050650	856a8ed2d72f3b3da8d32e41251a791ccc4f8c711fc5dd645f6a7de875e3ac6f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	225cdb9d16e19f2a333fa1b0f8255f2a2b10d8f79f67a7d0c944d7d9076ec2e3	true	true	true	false	false	false	false
4	22	POSITIVE_CONTROL_LEFT	2	U05-0000000020_S06-0000000040	C0Rect2Set	DESCENDANT_PROBE_REJECTED	0	6189	b1d6b59e3441e4fd4fe9a1b3723d4dc28a03afcb9ce82072d7a206ddab2b868f	5a95fe433d07466d07e8f3802fc17dc2fa4e3a0ef49803489f90c04672da8475	6421b104bface17608fe2fd41eb471b5a8ca55fcfe6ef1d78cff602d136812f0	10a84a66ac6a1cdc722f8615ef1f752484960ef94c75478cc97c564e48e163b2	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	225cdb9d16e19f2a333fa1b0f8255f2a2b10d8f79f67a7d0c944d7d9076ec2e3	true	true	true	false	false	false	false
5	22	POSITIVE_CONTROL_LEFT	3	U06-0000000040_S07-0000000080	C0HORect2Set	DESCENDANT_PROBE_REJECTED	0	6411	a967bf2feb24c0c8fd5b81a374f892262daae5eec9897e8e9c49a981503654cb	b99ec10edca37df5c38dc612d66342322977eef57b92fdd5f0d273df2d4fee8e	8f2462f1f1cc70b1acecd635512fa8ddfef82cb3da37e96a6bb47f49e1e295c6	0f8af92ec349ed7e628551e8b16dc18ff406eded91c243df07a18f61fea4d7a4	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	225cdb9d16e19f2a333fa1b0f8255f2a2b10d8f79f67a7d0c944d7d9076ec2e3	true	true	true	false	false	false	false
6	22	POSITIVE_CONTROL_LEFT	3	U06-0000000040_S07-0000000080	C0Rect2Set	DESCENDANT_PROBE_REJECTED	0	6105	a967bf2feb24c0c8fd5b81a374f892262daae5eec9897e8e9c49a981503654cb	b99ec10edca37df5c38dc612d66342322977eef57b92fdd5f0d273df2d4fee8e	3aad6857073cb53a4cef9faa8f4471c5d516fae12a104e52c1745cddb0a14c09	4404d29ce39ec7aaaf150dbf179437c81b79b0f6f73bbdcd6fa214ea6019c030	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	225cdb9d16e19f2a333fa1b0f8255f2a2b10d8f79f67a7d0c944d7d9076ec2e3	true	true	true	false	false	false	false
7	22	POSITIVE_CONTROL_LEFT	4	U07-0000000080_S08-0000000160	C0HORect2Set	DESCENDANT_PROBE_PASS	0	6414	f30ad0c45289b294e033b3bc2d7980181cc1568f71619a034075076a0c4331c4	9bc88e0d3c9a0e7307e46c44a3400881cfd5cac2fb28b8912c6fb8360da9a9d2	2f9103694b3f1a002f00543bf1c39f9e96ec5295d3bef4b7b1fa998b3e320ff0	bbe8d6978219db1f1af31360388b36a42fcfdea49391a86c62a6db4007b05029	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
8	22	POSITIVE_CONTROL_LEFT	4	U07-0000000080_S08-0000000160	C0Rect2Set	DESCENDANT_PROBE_PASS	0	6267	f30ad0c45289b294e033b3bc2d7980181cc1568f71619a034075076a0c4331c4	9bc88e0d3c9a0e7307e46c44a3400881cfd5cac2fb28b8912c6fb8360da9a9d2	2f3a61f6f6871f39a0b65113c39434012232c63770924648fa3dd7c2b637d17b	e00dbd6090a1c18dd64c6426ab245a0c5e6948e87646d64d11d63455da5b7852	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	bea46ab4cf4adbeda551b0c6acc48c6474aa0a07a2c563bba580618b66d2c36b	true	true	true	true	true	false	true
9	23	MASKED_TARGET	1	U04-0000000012_S05-0000000020	C0HORect2Set	DESCENDANT_PROBE_REJECTED	0	6374	4ac4afade4fb1fbf8d2702abcbde7b467063c4b3a25160750e62bd04f921c4f5	a714f9a73e0da47644997caa98caf2e81d9735eeb542b76736d2d81e3d80949b	8363e90c68fe22487f1190d7ed887688cc16e9dbe878ba851b27b8602698d7fa	c2a319f29c846db8317eaf9ee3a21cdf7ea5b50828bd1c3ca350d8d385f1835f	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e9a1c213100e4463d6767628b37730c66a66dc26e71636d3528843da8ad874f3	true	true	false	false	false	false	false
10	23	MASKED_TARGET	1	U04-0000000012_S05-0000000020	C0Rect2Set	DESCENDANT_PROBE_REJECTED	0	6373	4ac4afade4fb1fbf8d2702abcbde7b467063c4b3a25160750e62bd04f921c4f5	a714f9a73e0da47644997caa98caf2e81d9735eeb542b76736d2d81e3d80949b	5ceb7bb121bbba3d8f131c26b89e9a3b075144b75f0ff4a5f4f4e100a993da3b	13d6f8c49dee9210a74f163b61266db8950e622d2b7f813f373f409f4f531e62	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e9a1c213100e4463d6767628b37730c66a66dc26e71636d3528843da8ad874f3	true	true	false	false	false	false	false
