# leftover class pass-2. 6/6 leftover measured on 64924d371a; at 12ebda238d (#1880) two of the six are in Contracts (confidence, frontend_parity). Snapshot rows stay the 64924d371a measurement.
gate	reachable	class	via	direct_github_mention	dissertation_six
168_biology_validation_gate.sh	no	forgotten		no	no
ade_wildgen_mckay_gate.sh	no	unclassified		no	no
arm64_nested_store_witness_gate.sh	yes	workflow-reachable	.github/workflows/ci.yml	yes	no
associator_gum_variance_gate.sh	no	unclassified		no	no
bootstrap_chain_gate.sh	no	manual-by-design		no	no
brain_ossm_sigmoid_polarity_gate.sh	no	unclassified		no	no
canonical_compiler_gate.sh	yes	workflow-reachable	.github/workflows/ci.yml	yes	no
cd_tower_nullity_histogram_law_gate.sh	no	unclassified		no	no
cd_tower_seam_gate.sh	yes	workflow-reachable	.github/workflows/ci.yml	yes	no
cd_zd_graph_invariants_gate.sh	no	unclassified		no	no
chingon_zd_gate.sh	no	unclassified		no	no
claim_ast_gate.sh	no	unclassified		no	no
claim_native_gate.sh	no	forgotten		no	no
claude_operational_contract_gate.sh	yes	workflow-reachable	.github/workflows/ci.yml	yes	no
compile_fail_harness_contract_gate.sh	no	forgotten		no	no
compiler_lane_status_gate.sh	yes	workflow-reachable	.github/workflows/ci.yml	yes	no
compiler_stage_contract_gate.sh	no	unclassified		no	no
cpc2026_yale_evidence_gate.sh	no	unclassified		no	no
deep_four_lane_gate.sh	no	unclassified		no	no
dissertation_confidence_gate_gate.sh	no	forgotten		no	yes
dissertation_dossier_gate.sh	no	forgotten		no	yes
dissertation_frontend_parity_gate.sh	no	forgotten		no	yes
dissertation_pbpk28_parity_gate.sh	no	forgotten		no	yes
dissertation_pbpk_hessian_gate.sh	no	forgotten		no	yes
dissertation_pbpk_suite_gate.sh	no	manual-by-design	umbrella	no	yes
dyadic_non_reduction_gate.sh	no	unclassified		no	no
dyadic_relational_associator_gate.sh	no	unclassified		no	no
e219_engine_oracle_gate.sh	yes	workflow-reachable	.github/workflows/ci.yml	yes	no
e219_refusal_correspondence_gate.sh	yes	workflow-reachable	.github/workflows/ci.yml	yes	no
e_series_semantic_germ_gate.sh	no	unclassified		no	no
effects_handler_interaction_lean_gate.sh	no	unclassified		no	no
eisa_bridge_conformance_gate.sh	no	unclassified		no	no
eisa_h_zd_reference_gate.sh	no	unclassified		no	no
ekan_native_core_gate.sh	no	unclassified		no	no
engine_parity_gate.sh	no	unclassified		no	no
epistemic_egraph_rewrite_gate.sh	yes	workflow-reachable	.github/workflows/ci.yml	yes	no
epistemic_fabrication_detect_gate.sh	yes	workflow-reachable	.github/workflows/ci.yml	yes	no
epistemic_measure_correspondence_gate.sh	yes	workflow-reachable	.github/workflows/ci.yml	yes	no
epistemic_monotonicity_gate.sh	no	unclassified		no	no
epistemic_multidrug_gate.sh	no	unclassified		no	no
epistemic_pbpk_gate.sh	no	unclassified		no	no
epistemic_witness_gate.sh	no	unclassified		no	no
exact_bitwise_rebracket_authority_gate.sh	no	unclassified		no	no
exact_bitwise_rebracket_source_ir_gate.sh	no	unclassified		no	no
extern_builtin_mirror_gate.sh	yes	workflow-reachable	.github/workflows/ci.yml	yes	no
f64_bitcast_sitofp_boundary_gate.sh	yes	workflow-reachable	.github/workflows/ci.yml	yes	no
falsification_ledger_gate.sh	no	unclassified		no	no
federated_san_gate.sh	no	manual-by-design		no	no
ffi_posix_builtin_gate.sh	no	forgotten		no	no
float_slot_capacity_coherence_gate.sh	no	unclassified		no	no
fo_bytecode_fragment_gate.sh	no	unclassified		no	no
fo_css_surface_parity_gate.sh	no	unclassified		no	no
fo_emit_pure_gate.sh	no	unclassified		no	no
fo_engine_install_fragment_gate.sh	no	unclassified		no	no
fo_method_xfer_fragment_gate.sh	no	unclassified		no	no
fo_multimod_fragment_gate.sh	no	unclassified		no	no
fo_pk_import_auc_thalf_driver_gate.sh	no	unclassified		no	no
fo_pk_import_auct_driver_gate.sh	no	unclassified		no	no
fo_pk_import_cmax_driver_gate.sh	no	unclassified		no	no
fo_pk_import_fss_driver_gate.sh	no	unclassified		no	no
fo_pk_import_ld_driver_gate.sh	no	unclassified		no	no
fo_pk_import_method_driver_gate.sh	no	unclassified		no	no
