attempt	legacy_terminal_certified	current_four_nonempty	contract_four_nonempty	all_six_nonempty	all_six_strict_negative	intersection_lower	lower_source	intersection_upper	upper_source
A0001_P049_DU0_DS0_C0HORect2Set	false	true	true	true	true	-0x1.f4224bd575547p-36	liouville	-0x1.f3f497a4b7cc7p-36	liouville
A0002_P049_DU0_DS0_C0Rect2Set	false	true	true	true	true	-0x1.f42250a458feap-36	liouville	-0x1.f3f492d635d32p-36	liouville
A0003_P049_DU0_DS1_C0HORect2Set	false	true	true	true	true	-0x1.f41428919a3bfp-36	liouville	-0x1.f3e67556d5a6bp-36	liouville
A0004_P049_DU0_DS1_C0Rect2Set	false	true	true	true	true	-0x1.f4142d606675fp-36	liouville	-0x1.f3e670886b0ebp-36	liouville
A0005_P049_DU1_DS0_C0HORect2Set	false	true	true	true	true	-0x1.f4208214d4058p-36	liouville	-0x1.f3f2cdf2d71c6p-36	liouville
A0006_P049_DU1_DS0_C0Rect2Set	false	true	true	true	true	-0x1.f42086e3988ccp-36	liouville	-0x1.f3f2c9247412ep-36	liouville
A0007_P049_DU1_DS1_C0HORect2Set	false	true	true	true	true	-0x1.f4125eda55e63p-36	liouville	-0x1.f3e4abae7adfcp-36	liouville
A0008_P049_DU1_DS1_C0Rect2Set	false	true	true	true	true	-0x1.f41263a91ae82p-36	liouville	-0x1.f3e4a6e017925p-36	liouville
A0009_P065_DU0_DS0_C0HORect2Set	false	true	true	true	true	-0x1.f41eb8531a1c2p-36	liouville	-0x1.f3f1044043d8cp-36	liouville
A0010_P065_DU0_DS0_C0Rect2Set	false	true	true	true	true	-0x1.f41ebd21f8665p-36	liouville	-0x1.f3f0ff71c8b9p-36	liouville
A0011_P065_DU0_DS1_C0HORect2Set	false	true	true	true	true	-0x1.f4109522443d1p-36	liouville	-0x1.f3e2e20522166p-36	liouville
A0012_P065_DU0_DS1_C0Rect2Set	false	true	true	true	true	-0x1.f41099f0e9d4p-36	liouville	-0x1.f3e2dd36dfe3ap-36	liouville
A0013_P065_DU1_DS0_C0HORect2Set	false	true	true	true	true	-0x1.f41cee908dd67p-36	liouville	-0x1.f3ef3a8cbb56p-36	liouville
A0014_P065_DU1_DS0_C0Rect2Set	false	true	true	true	true	-0x1.f41cf35f7050cp-36	liouville	-0x1.f3ef35be3bb6cp-36	liouville
A0015_P065_DU1_DS1_C0HORect2Set	false	true	true	true	true	-0x1.f40ecb691c1a8p-36	liouville	-0x1.f3e1185b1933ap-36	liouville
A0016_P065_DU1_DS1_C0Rect2Set	false	true	true	true	true	-0x1.f40ed037d5d99p-36	liouville	-0x1.f3e1138cc191fp-36	liouville
A0017_P081_DU0_DS0_C0HORect2Set	false	true	true	true	true	-0x1.f41b24cf346a3p-36	liouville	-0x1.f3ed70d6379ep-36	liouville
A0018_P081_DU0_DS0_C0Rect2Set	false	true	true	true	true	-0x1.f41b299dd9329p-36	liouville	-0x1.f3ed6c07f4747p-36	liouville
A0019_P081_DU0_DS1_C0HORect2Set	false	true	true	true	true	-0x1.f40d01b101f9dp-36	liouville	-0x1.f3df4eae388a4p-36	liouville
A0020_P081_DU0_DS1_C0Rect2Set	false	true	true	true	true	-0x1.f40d067fab8fdp-36	liouville	-0x1.f3df49dff0dfcp-36	liouville
A0021_P081_DU1_DS0_C0HORect2Set	false	true	true	true	true	-0x1.f4195b0ad9bep-36	liouville	-0x1.f3eba720e9dbdp-36	liouville
A0022_P081_DU1_DS0_C0Rect2Set	false	true	true	true	true	-0x1.f4195fd98739ep-36	liouville	-0x1.f3eba2529e326p-36	liouville
A0023_P081_DU1_DS1_C0HORect2Set	false	true	true	true	true	-0x1.f40b37f62623fp-36	liouville	-0x1.f3dd85024f875p-36	liouville
A0024_P081_DU1_DS1_C0Rect2Set	false	true	true	true	true	-0x1.f40b3cc4cf51dp-36	liouville	-0x1.f3dd80340862bp-36	liouville
A0025_P097_DU0_DS0_C0HORect2Set	false	true	true	true	true	-0x1.f4179145944c8p-36	liouville	-0x1.f3e9dd6abd759p-36	liouville
A0026_P097_DU0_DS0_C0Rect2Set	false	true	true	true	true	-0x1.f417961454194p-36	liouville	-0x1.f3e9d89c5f64bp-36	liouville
A0027_P097_DU0_DS1_C0HORect2Set	false	true	true	true	true	-0x1.f4096e3a45c86p-36	liouville	-0x1.f3dbbb55a0f55p-36	liouville
A0028_P097_DU0_DS1_C0Rect2Set	false	true	true	true	true	-0x1.f409730909683p-36	liouville	-0x1.f3dbb6873f3d5p-36	liouville
A0029_P097_DU1_DS0_C0HORect2Set	false	true	true	true	true	-0x1.f415c77f7b69p-36	liouville	-0x1.f3e813b39ace1p-36	liouville
A0030_P097_DU1_DS0_C0Rect2Set	false	true	true	true	true	-0x1.f415cc4e3a43bp-36	liouville	-0x1.f3e80ee53dbf8p-36	liouville
A0031_P097_DU1_DS1_C0HORect2Set	false	true	true	true	true	-0x1.f407a47d9dd9ep-36	liouville	-0x1.f3d9f1a7f07c1p-36	liouville
A0032_P097_DU1_DS1_C0Rect2Set	false	true	true	true	true	-0x1.f407a94c62ca7p-36	liouville	-0x1.f3d9ecd98d9ffp-36	liouville
A0033_P113_DU0_DS0_C0HORect2Set	false	true	true	true	true	-0x1.f413fdb8689c7p-36	liouville	-0x1.f3e649fba781cp-36	liouville
A0034_P113_DU0_DS0_C0Rect2Set	false	true	true	true	true	-0x1.f41402873d165p-36	liouville	-0x1.f3e6452d361dfp-36	liouville
A0035_P113_DU0_DS1_C0HORect2Set	false	true	true	true	true	-0x1.f405dabfefe9ap-36	liouville	-0x1.f3d827f97c6bdp-36	liouville
A0036_P113_DU0_DS1_C0Rect2Set	false	true	true	true	true	-0x1.f405df8ed6ccp-36	liouville	-0x1.f3d8232af7f22p-36	liouville
A0037_P113_DU1_DS0_C0HORect2Set	false	true	true	true	true	-0x1.f41233f0ba998p-36	liouville	-0x1.f3e4804287b4dp-36	liouville
