question	answer	evidence
reasoner_path	stdlib/ontology/reasoner.sio	scripts/ci/ontology_reasoner_compile_gate.sh
gate_exercise	TBox-only (subclass+LCS+WuPalmer)	scripts/ci/ontology_fixtures/reasoner_exercise_main.sio
reasoner_has_individual_API	yes	reasoner_init_individuals,add_individual_type,classify_individuals,is_instance,all_instances
individual_API_callers_outside_reasoner	0	rg files=1 only reasoner.sio
model_has_Individual_struct	yes	stdlib/ontology/model.sio Individual, axiom_class_assertion, property_assertion ctors
individual_new_callers_outside_model	0	rg
compiler_store_content	term/CURIE lookup + parent strings + provenance:string label	stdlib/compiler/ontology/store.sio
live_bundles_content	classes + subclass parents + disjoint; no individuals	generated/*.sio importer comment; .dontology JSON terms
subclass_of_count_ontology_dir	888	rg -c stdlib/ontology (pos ctrl: deployment_validity has subclass_of)
prov_module	stdlib/epistemic/prov.sio ProvId ProvEntity entity_type generated_at reference_hash	W3C PROV-DM hand ABox
bridge_ProvEntity_to_reasoner	none found	rg ProvId/ProvEntity in stdlib/ontology empty of ProvId
bridge_ontology_roles_named_provenance	TBox roles has_provenance on epistemic artifacts	proof_carrying_*.sio ontology files
slurm_reasoner_gate	PASS	cpuops 2026-08-19
cost_class	bridge_not_full_reasoner_rewrite_for_class_assertions	individual APIs exist; unwired; property-level PROV still open
