id	surface	kind	owner	madaros	lean	proof	recipe
C-TILDE	tests/run-pass/bitwise_not_bootstrap_regression.sio	named	LEAN_DEFECT+SPEC_STALE	E005 on ~i64; ~bool is OpNot	compile+run; ~0==-1	founder directive; codegen_plan admits no OpBitNot; LANGUAGE_SPEC §2.5 is seed-era	rewrite §2.5; retag file compile-fail E005 or known-failure-on:lean_single; do not add OpBitNot without founder pin
C-E218	tests/compile-fail/f256_v0b_arithmetic_rejected.sio	named	RESERVA/LEAN_DEFECT	error[E218] V0-A	compile rc=0 ELF	v2 2026-08-19: both construct and arith fail E218 on Madaros = Reserva not Claim-ready; seed still accepts	seed must refuse reserved f128/f256 or lose the files
C-1927-SCALE2	tests/run-pass/lean_is_not_oracle_scale2.sio	named	LEAN_DEFECT	OBSERVED 0.010000 rc=0	OBSERVED 0.002500 rc=1	#1927; GUM var(2x)=4Va	port FO scale into seed; never regress Madaros to 0.0025
C-1927-PRODUCT	tests/run-pass/lean_is_not_oracle_product.sio	named	LEAN_DEFECT	OBSERVED 0.032500 rc=0	OBSERVED 0.002500 rc=1	#1927; Var(a*b)=b2Va+a2Vb	port FO product into seed
C-1927-ADD	tests/run-pass/lean_is_not_oracle_add.sio	named	LEAN_DEFECT	OBSERVED 5.000000 rc=0	OBSERVED 4.000000 rc=1	#1927; JCGM 100:2008 §5.1.2	port second channel into seed
C-FO-ARITY3	docs/audit/repro/fo_var_samefile.sio add3/add4	named	MADAROS_DEFECT	0.000000	14.0 / 14.25	JCGM §5.1.2; fo_register_pure_fn_transfer >2 params skip	close arity skip on Madaros; do not pin thesis to seed
C-FO-IMPORT	docs/audit/repro/fo_var_import.sio	named	MADAROS_DEFECT	imported identity var=0	4.0	transfer table never left defining module	port FO transfer across import on Madaros
C-1792	tests/run-pass/rapamycin_epistemic_adaptive.sio	named	MADAROS_DEFECT	var=0.000000	~1e-5	#1792; fabrication detect gate	ABI / FO-boundary repair on Madaros; fail-closed detect stays
C-E219	compile-fail / ffi_posix	named	CONTRACT/LEAN_DEFECT	E219 outside allowlist	no E219 surface	#1801; KNOWN_LIMITATIONS engine split	seed follows allowlist+E219
C-E010	tests/compile-fail/turbofish_type_arg_arity.sio	named	CONTRACT/LEAN_DEFECT	E010	accepts first::<i64>(42,99)	2026-08-19 19-file receipt	seed must refuse wrong turbofish arity
C-UNINIT	tests/run-pass/uninit_fixed_array_zero_init.sio	named	LEAN_DEFECT	REAL_RUN assertions hold	E200 unknown s	#1548; 19-file receipt	drop seed-shaped known-failure on the oracle
C-VEC-NEW	tests/run-pass/vec_new_nonexistent_type_eval_zero.sio	named	SPLIT	prints 0 + DOCUMENTS_FABRICATION	unknown Vec	W44 never fires	seed: not a Vec oracle; Madaros: stop fabricating 0
C-1798	ontology inverse_of forward	named	HISTORICAL_LEAN_PIN	now rejects (aligned)	E158	#1798 closed by old authority; independent no-forward-ref still holds	do not reopen
C-NEG0	tests/run-pass/print_f64_negative.sio	named	LEAN_DEFECT	prints -0.000000	drops sign	IEEE negative zero	seed prints the sign bit
C-ARRAY-IDENT	tests/run-pass/global_array_element_list_ident.sio	named	LEAN_DEFECT	7 20 -3	7 7 7	source [X,20,Y]	seed must store each element
F-CHECK-AGREE-ACCEPT	tests/run-pass check	family	none	accept	accept	Aug-17 n=835	dual-run population only
F-CHECK-AGREE-REJECT	tests/run-pass check	family	none	reject	reject	Aug-17 n=6	—
F-CHECK-SPAN-DIFF	tests/run-pass check	family	INSTRUMENT	—	—	Aug-17 n=296 raw; extractor matched bare N:N	do not cite 296; prefer 607
F-CHECK-MADAROS-ONLY-REJECT	tests/run-pass check	family	LEAN_DEFECT	reject	accept	Aug-17 n=230	seed too loose; implement refuse
F-CHECK-E218-SUITE	tests/compile-fail f128/f256 reservation	family	RESERVA/LEAN_DEFECT	E218	accept or non-E218	n=16 in the 19; v2 Reserva not Claim-ready	seed implements V0-A
F-CHECK-E137	MADAROS_ONLY_REJECT E137	family	LEAN_DEFECT	E137	accept	Aug-17 n=42	follow Madaros name/import
F-CHECK-E009	MADAROS_ONLY_REJECT E009	family	LEAN_DEFECT	E009	accept	Aug-17 n=13	follow Madaros
