# leftover snapshot measured on d3ea284caf / 6098da3e82. claim-numeric 11 + hardware-skip census measured on 665f412bd9 (origin/main).
# Of the 11 claim-numeric rows published in 46b6db5497 (#1915): measured=yes=7 / empty=4. Line 43 marked kaxi measured=yes. grok-cli3 (2026-08-19): 318 DROP, 0 DIFF — that cell alone moves the published pair to 6 / 5. This file also marks functor, san, and windows as measured=no (instrument: numpy / unsupported --target), so the live column is measured=yes=3 / empty=8. The kaxi-only reading is almost half; the live column is more than half. SHA of the 11: 665f412bd9. kaxi 80 s is the cost of not measuring.
# polarity green on leftover rows is pass-measured. skip-vacuous is rc=0 that did not measure. measured=no means elapsed_sec is the cost of not measuring.
gate	family	kind	elapsed_sec	rc	capped	polarity	measured	propose_wire	note
dissertation_confidence_gate_gate.sh	dissertation	gate_cost	1	0	no	green	yes	yes	Contribution 2. Remeasured 0.693 s wall on 6098da3e82, rc=0. date+s first pass was 0–1 s.
dissertation_frontend_parity_gate.sh	dissertation	gate_cost	2	0	no	green	yes	yes	PBPK14 dual-Sounio 14/14 + Node product arm. Remeasured 1.942 s wall on 6098da3e82, rc=0.
dissertation_dossier_gate.sh	dissertation	gate_cost	1	1	no	red	yes	no	4 fails: dossier_smoke check/compile; binary not executable; no PASS dossier_smoke.
dissertation_pbpk28_parity_gate.sh	dissertation	gate_cost	9	1	no	red	yes	no	case7 semaglutide ref: E175 private fn + E008 bergman_glucose_insulin return type. Madaros preflight rc=1.
dissertation_pbpk_hessian_gate.sh	dissertation	gate_cost	5	1	no	red	yes	no	var_o1 golden 2.050168e-7 vs runtime 0.000000 (zero GUM variance). Mutates hessian CSV if left dirty.
dissertation_pbpk_suite_gate.sh	dissertation	gate_cost	110	1	no	red	yes	no	Default souc-seq-leansingle.sh (do not pin Madaros). 52/53 PASS; FAIL pbpk28_rapamycin_clinical rc=1 (90 s timeout). PEND semaglutide clinical. SOUNIO_DPS_GATE_SKIP=1 is vacuous skip — not used here.
168_biology_validation_gate.sh	forgotten	gate_cost	5	0	no	green	yes	no	Cheap green; not a dissertation candidate.
claim_native_gate.sh	forgotten	timeout-cap	180	124	yes	capped	no	no	>=180 s. Partial N2 PASS. Not finished under cap.
compile_fail_harness_contract_gate.sh	forgotten	gate_cost	1	0	no	green	yes	no	Cheap green; harness contract, not dissertation.
ffi_posix_builtin_gate.sh	forgotten	rebuild	180	124	yes	capped	no	no	NOT a slow gate. kind=rebuild: unless SOUNIO_GATE_SOUC is set, the script runs build_modular_madaros.sh before any witness. The 180 s cap with empty stdout is the accidental self-compile, not the POSIX reframe/execution arms. Wiring this to Contracts would bill every PR a Madaros rebuild.
kretikos_kaxi_fmad_invariance_gate.sh	forgotten	skip-vacuous	0	0	no	skip-vacuous	no	no	SKIPPED (no CUDA). Green is not a measurement. kind=skip-vacuous.
kretikos_kaxi_phase_j_aggregate_gate.sh	forgotten	gate_cost	3	0	no	green	yes	no	6/0 PASS. Cheap; not dissertation.
kretikos_kaxi_round_mode_gate.sh	forgotten	gate_cost	75	1	no	red	yes	no	PTX golden rm kernel missing add.rm/sub.rm/mul.rm.f64.
madaros_f128_f256_ladder_gate.sh	forgotten	gate_cost	4	1	no	red	yes	no	V0-A E218 still active. Known: wiring this reds every PR.
madaros_f128_f256_v0c_wire_gate.sh	forgotten	gate_cost	1	1	no	red	yes	no	V0-C scaffold, external wire corpus unconsumed.
madaros_f128_f256_v0d_softfloat_gate.sh	forgotten	gate_cost	0	1	no	red	yes	no	V0-D scaffold, softfloat hard corpus unconsumed.
madaros_imported_ep_var_preserve_gate.sh	forgotten	gate_cost	7	1	no	red	yes	no	bin/madaros SIGSEGV during run. Do not wire.
madaros_ols_fixed_e2e_gate.sh	forgotten	gate_cost	2	0	no	green	yes	no	Cheap green; not dissertation.
madaros_print_f64_negative_gate.sh	forgotten	gate_cost	2	0	no	green	yes	no	Named leftover. Cheap; not dissertation.
madaros_zero_provenance_failclosed_gate.sh	forgotten	gate_cost	2	0	no	green	yes	no	Cheap green; not dissertation.
mir_instr_capacity_coherence_gate.sh	forgotten	gate_cost	0	0	no	green	yes	no	Source-text coherence check. Cheap; not dissertation.
mli_s3_bit_identity_gate.sh	forgotten	gate_cost	5	0	no	green	yes	no	Named leftover. Cheap; not dissertation.
native_capacity_tiers_gate.sh	forgotten	gate_cost	0	1	no	red	yes	no	label_tier_4096_below_ir_max_instrs_16384.
octonion_probes_gate.sh	forgotten	gate_cost	1	0	no	green	yes	no	Cheap green; not dissertation.
oopsla2027_paper_gate.sh	forgotten	gate_cost	0	1	no	red	yes	no	OOPSLA2027_PAPER_VERDICT INCOMPLETE.
paper168_cocycle_subspace_gate.sh	forgotten	timeout-cap	180	124	yes	capped	no	no	>=180 s. Partial PASS k8/k9. Not finished under cap.
paper_168_theorem_claims_gate.sh	forgotten	gate_cost	0	1	no	red	yes	no	ModuleNotFoundError: numpy. Vacuous-red on this pod; not a Contracts candidate.
run_pass_output_gate.sh	forgotten	gate_cost	53	0	no	green	yes	no	219 checked vs committed baseline (25 mismatches already in baseline). 53 s — too dear for Contracts; not dissertation.
self_falsifying_compilation_line_gate.sh	forgotten	gate_cost	1	0	no	green	yes	no	SUBSTRATE_LIVE corpus-bound. Cheap; not dissertation. Rungs below are red or incomplete.
self_falsifying_compilation_line_r11_gate.sh	forgotten	gate_cost	0	1	no	red	yes	no	ModuleNotFoundError: numpy.
self_falsifying_compilation_line_r17_gate.sh	forgotten	gate_cost	0	1	no	red	yes	no	SURFACE_ONLY__NOT_CERTIFIED.
self_falsifying_compilation_line_r2_gate.sh	forgotten	gate_cost	0	1	no	red	yes	no	INCOMPLETE.
self_falsifying_compilation_line_r4_gate.sh	forgotten	gate_cost	46	1	no	red	yes	no	known correction daa0635d0 no longer lands in a graded bucket.
self_falsifying_compilation_line_r5_gate.sh	forgotten	gate_cost	0	1	no	red	yes	no	INCOMPLETE.
self_falsifying_compiler_gate.sh	forgotten	timeout-cap	180	124	yes	capped	no	no	>=180 s. Partial F1_SURFACE PASS. Not finished under cap.
stdlib_source_byte_ceiling_gate.sh	forgotten	gate_cost	4	0	no	green	yes	no	Named leftover. Cheap; not dissertation.
witness_based_compilation_paper_gate.sh	forgotten	gate_cost	0	0	no	green	yes	no	DRAFT_TOKEN_BOUND. Cheap; not dissertation.
