mutation,injected_fault,sounio,python,cross_diff,formal_audit,claim_gate,detected,notes
M1,Flip one Cayley-Dickson sign branch in Sounio,DETECTED,UNCHANGED,DETECTED,MISSED,MISSED,True,souc rc=0; emitted 180 canonical pairs
M2,Share the same sign defect across Sounio and Python,DETECTED,DETECTED,MISSED,MISSED,DETECTED,True,"souc=180, python=180, elementwise_equal=True; oracle rc=1"
M3,Off-by-one enumeration bound (drop lo=7),DETECTED,UNCHANGED,DETECTED,MISSED,DETECTED,True,souc rc=0; emitted 120 pairs
M4,Keep count 168 but replace one witness,MISSED,UNCHANGED,DETECTED,MISSED,MISSED,True,count=168; removed='PAIR 1 10 0 4 15 1'; inserted='PAIR 1 9 0 1 9 0'
M5,Change prose result from 168 to 169,MISSED,MISSED,MISSED,MISSED,DETECTED,True,"{""dimension_scope_is_finite_16"": true, ""formal_signature_matches_claim"": true, ""reported_count_matches_artifact"": false}"
M6,Replace the count proof with sorry,MISSED,MISSED,MISSED,DETECTED,MISSED,True,"{""no_sorry_or_axiom"": false, ""strong_theorem_signature"": true}"
M7,Weaken formal proposition while retaining strong prose,MISSED,MISSED,MISSED,DETECTED,DETECTED,True,"formal={'no_sorry_or_axiom': True, 'strong_theorem_signature': False}; claim={'reported_count_matches_artifact': True, 'dimension_scope_is_finite_16': True, 'formal_signature_matches_claim': False}"
M8,Update unit-test expectation together with mutant implementation,MISSED,UNCHANGED,DETECTED,MISSED,DETECTED,True,coupled_unit_passes=True; mutant_expected_count=180
M9,Compiler-output corruption proxy with unchanged source,MISSED,UNCHANGED,DETECTED,MISSED,MISSED,True,source hash unchanged; output records=168
M10,Promote a finite dimension-16 census to all dimensions,MISSED,MISSED,MISSED,MISSED,DETECTED,True,"{""dimension_scope_is_finite_16"": false, ""formal_signature_matches_claim"": true, ""reported_count_matches_artifact"": true}"
