id	path	tag_source	ci_engine	lean_compile	lean_run	lean_note	madaros_compile	madaros_run	madaros_note	assertion_alive	class	why
1	tests/run-pass/parser_card_a_misc_patterns.sio	sidecar	lean_stage2	0	0	runs return 0	0	0	runs return 0	weak_smoke	CORRIGIDO	native-artifact backlog; now runs on both
2	tests/run-pass/parser_card_a_refinement_predicates.sio	sidecar	lean_stage2	0	0	bounded/nonzero/or predicates	0	0	same	yes	CORRIGIDO	native-artifact backlog; now runs on both
3	tests/run-pass/pbpk28_struct_return.sio	sidecar	lean_stage2	0	0	cl=12.400000 PASS	1	-	preflight failed	yes_on_lean	INDETERMINADO	lean XPASS; Madaros still cannot compile
4	tests/run-pass/rapamycin_iso_budget.sio	sidecar	lean_stage2	0	0	PASS unconditional; Knowledge/Budget64 out of [0.9,1.1]	1	-	ir_into_acc_failed	no_pass_unconditional	TESTEMUNHA-MORTA	PASS printed regardless of cross-check
5	tests/run-pass/rapamycin_rk4_budget.sio	sidecar	lean_stage2	0	0	FAMILY_A_VAR_LIVE+PASS	1	-	ir_into_acc_failed	yes_on_lean	INDETERMINADO	live-var gate holds on lean; Madaros thin-link fails
6	tests/run-pass/darwin_compartments_coronary_smc_smoke.sio	sidecar	lean_stage2	0	0	CORONARY_SMC_SMOKE_PASS	0	0	CORONARY_SMC_SMOKE_PASS	yes	CORRIGIDO	mass-balance smoke green on both
7	tests/run-pass/darwin_pd_coronary_smc_smoke.sio	sidecar	lean_stage2	0	0	PD_CORONARY_SMC_SMOKE_PASS	0	0	PD_CORONARY_SMC_SMOKE_PASS	yes	CORRIGIDO	PD smoke green on both
8	tests/run-pass/dissertation_pbpk28_confidence_gate.sio	sidecar	lean_stage2	0	0	PBPK28_CONFIDENCE_GATE_PASS	0	0	PBPK28_CONFIDENCE_GATE_PASS	yes	CORRIGIDO	method demo green on both
9	tests/compile-fail/refinement_f64_return_violation.sio	sidecar+compile-fail	lean_stage2	1	-	refinement type violation	0	0	ACCEPTS return 1.7	yes_on_lean	CORRIGIDO	lean now rejects; Madaros still accepts — do not drop sidecar
10	tests/compile-fail/turbofish_concrete_type_mismatch.sio	in-file lean-only	lean_stage2	1	-	E001 type mismatch	1	-	preflight type mismatch	yes	CORRIGIDO	lean soundness gap the tag named is closed
11	tests/stdlib/darwin_pbpk/test_pipeline_real_e2e.sio	sidecar	lean_stage2	0	0	SCIENCE_PBPK_OK	0	0	SCIENCE_PBPK_OK	yes	CORRIGIDO	metrics+token on both
12	tests/run-pass/fo_call_boundary_arity3.sio	in-file Madaros FO>2	lean_stage2	0	0	id3_var=1.000000	0	1	id3_var=0.000000	yes	INDETERMINADO	CI is lean; Madaros defect still live
13	tests/run-pass/fo_call_boundary_neg.sio	in-file Madaros no-OpSub	lean_stage2	0	0	neg_var=1.000000	0	1	neg_var=0.000000	yes	INDETERMINADO	CI is lean; OpSub transfer still absent
14	tests/stdlib/epistemic/test_kaxi_fuse.sio	sidecar	lean_stage2	0	0	kaxi_fuse PASS 11.6/0.8944	139	-	SEGV lower_array	yes_on_lean	INDETERMINADO	lean numeric pass; Madaros compiler crash
15	tests/stdlib/math/test_core_e2e.sio	sidecar	lean_stage2	0	0	check_near battery rc=0	1	-	preflight failed	yes_on_lean	INDETERMINADO	lean pass; Madaros compile fail
16	tests/stdlib/math/test_hyper_math_e2e.sio	sidecar	lean_stage2	0	0	HYPER_MATH_OK	0	0	HYPER_MATH_OK	yes	CORRIGIDO	oct/sed metrics on both
17	tests/stdlib/random/test_distributions_e2e.sio	sidecar	lean_stage2	0	0	7/7 PASS	1	-	preflight failed	yes_on_lean	INDETERMINADO	lean pass; Madaros compile fail
18	tests/stdlib/util/test_log_path_cmp.sio	sidecar	lean_stage2	0	0	log/path/cmp rc=0	0	0	rc=0	yes	CORRIGIDO	numeric guards on both
19	tests/run-pass/gum_fo_across_call.sio	in-file Madaros Family A	lean_stage2	0	0	CALL_var=0.000013 OK	0	1	CALL_var=0.000000 ZERO	yes	INDETERMINADO	FO witness; CI XPASS is lean; Madaros still fabricates zero
20	tests/run-pass/associator_field_octonion.sio	sidecar	lean_stage2	0	0	ALL PASS	0	0	ALL PASS	yes	CORRIGIDO	Fano/non-Fano windows on both
21	tests/run-pass/knowledge_array.sio	sidecar	lean_stage2	0	0	KNOWLEDGE_ARRAY_PASS	0	139	run SEGV after compile	yes_on_lean	INDETERMINADO	lean stomp-survives; Madaros run crash
FO_SAME_ADD3	docs/audit/repro/fo_var_samefile.sio	matrix	n/a	0	0	ADD3=14.000000	0	0	ADD3=0.000000	yes	n/a	arity hole still open on Madaros
FO_SAME_ADD4	docs/audit/repro/fo_var_samefile.sio	matrix	n/a	0	0	ADD4=14.250000	0	0	ADD4=0.000000	yes	n/a	arity hole still open on Madaros
FO_IMP_ADD2	docs/audit/repro/fo_var_import.sio	matrix	n/a	0	0	IMP_ADD2=5.000000	0	0	IMP_ADD2=5.000000	yes	n/a	#1939 imported 1-2 holds
FO_IMP_ADD3	docs/audit/repro/fo_var_import.sio	matrix	n/a	0	0	IMP_ADD3=14.000000	0	0	IMP_ADD3=0.000000	yes	n/a	imported >=3 still zero
CTRL_E001	must_fail_e001.sio	control	n/a	1	-	Type mismatch i64/bool	1	-	incompatible types	yes	n/a	instrument still refuses a real type error
CTRL_ARITY3	tests/run-pass/gum_fo_arity3_boundary.sio	in-file requires:madaros	skipped_on_ci	0	0	ADD3=14	0	1	ADD3=0 ZERO	yes	n/a	mandatory still-fail control fired
