# METHOD (read this before the counts).
# Question: outside the 11 claim-numeric gates, how many produce green without measuring?
# Not measured: the 468-gate leftover corpus. That number is not derived here.
# Sample: unique scripts/ci/*_gate.sh invoked as a real run: (including bash "$g" inside a run: | block) in jobs.contracts of .github/workflows/ci.yml.
# Why this sample: these are the gates that cost every pull request. A green here is what the fleet treats as a CI signal.
# Every-PR cut: drop any Contracts step whose YAML if: is not empty (impact filters; r6 nightly/schedule). Upload-artifact is not a gate.
# Overlap with the 11 claim-numeric rows: none. Those eleven are not invoked in jobs.contracts. dissertation_confidence_gate_gate.sh and dissertation_frontend_parity_gate.sh sit in this job; they are leftover-budget rows already measured=yes, not members of the 11. They stay in the sample because they cost every PR.
# Runner: this worktree, env scrubbed (no inherited SOUC_BIN / SOUNIO_STDLIB_PATH), SOUNIO_GATE_SOUC + SOUC_BIN + SOUNIO_STDLIB_PATH pinned to this checkout, MADAROS_STACK_KB=524288, ulimit -s 1048576. numpy via `python3 -m pip install --user --break-system-packages numpy` (PEP 668 + no python3-venv on this pod; Contracts uses `python3 -m pip install numpy` on ubuntu-24.04). Same package, not the same install path. This pod has no nvidia-smi / ptxas / nvcc / wine — same class as the 11.
# Cap: 90 s per gate (timeout(1) SIGTERM). A cap is not a measurement.
# Empty-green: rc=0 and the process selected, ran, and measured nothing (SKIPPED / skip-vacuous / capability missing and no science arm ran). A grep/receipt/sha check that actually inspected files is pass-measured, even if cheap.
# pass-measured: rc=0 and a check ran (PASS/FAIL counts, file/sha compare, compiler invocation that produced a verdict).
# This file's counts are filled after the run. They are not a 468 extrapolation. If a reader wants a 468 guess they must say so; the sample does not license it.
# Four logs (parser routing, sigpipe, vacuity, claude contract) used GATE_*_OK / *_PASS / "OK" tokens the first-pass tokeniser missed. Re-read; all four measured. That was a classifier miss, not empty-green.
# Measurement SHA: ee6ec28013d181d7d533383b69ac3a0ae69cbe8a. Workflow blob: 3132a0f1d6b6cc9af5182c396bf71e00733d3234. Cap 90s. Runner /tmp/contracts_empty_green_run.py.
# COUNTS (method above; not a 468 extrapolation). every-pr n=44. pass-measured=44. empty-green=0. red=0. other=0. outside_the_11=44 (overlap with the 11: 0).
gate	sample	kind	elapsed_sec	rc	capped	polarity	measured	note
sounio_website_docs_support_gate.sh	every-pr	gate_cost	3	0	no	pass-measured	yes	SOUNIO_WEBSITE_DOCS_SUPPORT_GATE_START repo=/workspace/.wt/cursor-2 artifact_root=/tmp/sounio-website-docs-support.xALors [website-docs-support] >>> docs-regist
sounio_package_support_gate.sh	every-pr	gate_cost	40	0	no	pass-measured	yes	SOUNIO_PACKAGE_SUPPORT_GATE_START repo=/workspace/.wt/cursor-2 artifact_root=/tmp/sounio-package-support.acrQMG [package-support] >>> package-import-science [pa
lora_assets_gate.sh	every-pr	gate_cost	1	0	no	pass-measured	yes	--> corpus: /workspace/.wt/cursor-2/docs/training/finetune/sounio_corpus.txt files: 3977 bytes: 27350820 --> code dataset: /workspace/.wt/cursor-2/datasets/soun
precise_stack_maps_honesty_gate.sh	every-pr	gate_cost	0	0	no	pass-measured	yes	precise_stack_maps honesty check passed: no self-hosted/native site claims true.
pin_registry_honesty_gate.sh	every-pr	gate_cost	0	0	no	pass-measured	yes	pin_registry honesty check passed: no self-hosted/native site claims pin ready.
gc_capability_honesty_gate.sh	every-pr	gate_cost	0	0	no	pass-measured	yes	gc_capability honesty check passed: no false collector advertisements.
epistemic_fabrication_detect_gate.sh	every-pr	gate_cost	5	0	no	pass-measured	yes	[epistemic-fab] PASS: F1 Madaros reports non-zero variance (engine healthy on this path) [epistemic-fab] PASS: F2 Madaros bit-pattern-scale confidence is detect
f64_bitcast_sitofp_boundary_gate.sh	every-pr	gate_cost	3	0	no	pass-measured	yes	[f64-bitcast-boundary] ran label=controls engine=madaros rc=0 log=/tmp/sounio-f64-bitcast.95GJpB/controls_madaros.log [f64-bitcast-boundary] PASS: CONTROLS Mada
dissertation_confidence_gate_gate.sh	every-pr	gate_cost	1	0	no	pass-measured	yes	=== Dissertation Confidence-Gate Gate (Contribution 2) === souc=/workspace/.wt/cursor-2/bin/souc [honest_ceiling] tests/run-pass/dissertation_pbpk28_confidence_
dissertation_frontend_parity_gate.sh	every-pr	gate_cost	2	0	no	pass-measured	yes	[parity] out=/tmp/sounio-dissertation-parity.eOi9dm [parity] threshold=1.0% RMSE per compartment [parity] hard path: Sounio REF (dt=0.01) ↔ Sounio ALT (dt=0.005
fpga_receipt_staleness_gate.sh	every-pr	gate_cost	1	0	no	pass-measured	yes	fpga receipt staleness check passed: no non-stale report claims synthesis of absent RTL.
heuristic_firewall_gate.sh	every-pr	gate_cost	1	0	no	pass-measured	yes	[heuristic-firewall] PASS: no correctness-critical module imports experimental::heuristic
self_falsifying_compilation_line_r1_gate.sh	every-pr	gate_cost	0	0	no	pass-measured	yes	SELF-FALSIFYING COMPILATION R1 — corpus binding ======================================================================== B1_MANIFEST_BOUND 16 claims bound to re
self_falsifying_compilation_line_r3_gate.sh	every-pr	gate_cost	1	0	no	pass-measured	yes	SELF-FALSIFYING COMPILATION R3 — executable falsifiers ======================================================================== Question: for the three audited 
self_falsifying_compilation_line_r7_gate.sh	every-pr	gate_cost	25	0	no	pass-measured	yes	SELF-FALSIFYING COMPILATION R7 — auditing the shared kernel ============================================================================ R6 found 343/1081 contr
self_falsifying_compilation_line_r8_gate.sh	every-pr	gate_cost	24	0	no	pass-measured	yes	SELF-FALSIFYING COMPILATION R8 — the trusted base of a research corpus ============================================================================== R6: a thir
self_falsifying_compilation_line_r9_gate.sh	every-pr	gate_cost	58	0	no	pass-measured	yes	SELF-FALSIFYING COMPILATION R9 — finishing the trusted-base audit ============================================================================== R8 mapped 12 ke
self_falsifying_compilation_line_r10_gate.sh	every-pr	gate_cost	4	0	no	pass-measured	yes	SELF-FALSIFYING COMPILATION R10 — latent corroboration discovery ============================================================================== Neighbours ask w
self_falsifying_compilation_line_r12_gate.sh	every-pr	gate_cost	0	0	no	pass-measured	yes	R12 — the N-version search: prior art on artifact-level independence ======================================================================== Phase 0 of 5 ran. 
self_falsifying_compilation_line_r13_gate.sh	every-pr	gate_cost	0	0	no	pass-measured	yes	R13 — does co-sensitivity track structural distance? ======================================================================== contracts probed 31; usable 30; mu
self_falsifying_compilation_line_r14_gate.sh	every-pr	gate_cost	0	0	no	pass-measured	yes	R14 — what this corpus computes vs what it checks ======================================================================== call trace: 31 contracts; deepest lev
self_falsifying_compilation_line_r15_gate.sh	every-pr	gate_cost	2	0	no	pass-measured	yes	R15 — the token is blind to whatever preserves its proposition ======================================================================== C1_CONSTRUCTION_VALIDATE
self_falsifying_compilation_line_r16_gate.sh	every-pr	gate_cost	1	0	no	pass-measured	yes	R16 — the invariance group, identified ======================================================================== C1_FLIP_IS_MINIMAL_BY_CONSTRUCTION n= 5: (8 XOR 
self_falsifying_compilation_line_r19_gate.sh	every-pr	gate_cost	1	0	no	pass-measured	yes	R19 — R16's locality derived; what is left is one lemma ======================================================================== Y1_LOCALITY_DERIVED n= 5 L1 (P=
self_falsifying_compilation_line_r21_gate.sh	every-pr	gate_cost	3	0	no	pass-measured	yes	R21 — the lemma, proved ======================================================================== V1_H_IS_A_SEAM_BIT (seam bits are {3..n-2}; the orbit action is
self_falsifying_compilation_line_r22_gate.sh	every-pr	gate_cost	2	0	no	pass-measured	yes	Self-falsifying compilation R22 (inverted) -- the guard that replaced the gate that certified a literal ========================================================
self_falsifying_compilation_line_r23_gate.sh	every-pr	gate_cost	2	0	no	pass-measured	yes	Self-falsifying compilation R23 (inverted) — the guard that replaced the ownership label misnamed as validation ROOT=/workspace/.wt/cursor-2 V1 the default (fal
self_falsifying_compilation_line_r24_gate.sh	every-pr	gate_cost	0	0	no	pass-measured	yes	R24 — which production claims can honestly declare a provenance ======================================================================== 16 production claims in
self_falsifying_compilation_line_r25_gate.sh	every-pr	gate_cost	1	0	no	pass-measured	yes	Self-falsifying compilation R25 — research authority is path-default historical ROOT=/workspace/.wt/cursor-2 V1 ACTIVE_RESEARCH_DOCS whitelist: governance_regis
self_falsifying_compilation_line_r27_gate.sh	every-pr	gate_cost	0	0	no	pass-measured	yes	Self-falsifying compilation R27 -- declared alive, never checked ======================================================================== A1 manifest: 16 claims
self_falsifying_compilation_line_r28_gate.sh	every-pr	gate_cost	9	0	no	pass-measured	yes	Self-falsifying compilation R28 -- the confidence gate separates almost nothing ============================================================================== r
self_falsifying_compilation_line_r29_gate.sh	every-pr	gate_cost	0	0	no	pass-measured	yes	A1_CLOSURE_WALK PASS — executor collects the closure and verifies each node A2_SCOPE_REPORTED PASS — scope printed, truncation announced A3_PROBES_DECISIVE PASS
compiler_lane_status_gate.sh	every-pr	gate_cost	56	0	no	pass-measured	yes	[compiler-lanes] PASS: read-only lane classification is executable
parser_contextual_ident_routing_gate.sh	every-pr	gate_cost	0	0	no	pass-measured	yes	tk_is_contextual_ident admits 18 kinds; 3 OK routing sites; PARSER_CONTEXTUAL_IDENT_ROUTING_GATE_OK 
extern_builtin_mirror_gate.sh	every-pr	gate_cost	0	0	no	pass-measured	yes	[extern-mirror] PASS: 40 builtin names, checker and backend agree
e219_refusal_correspondence_gate.sh	every-pr	gate_cost	0	0	no	pass-measured	yes	[e219-correspondence] POSITIVE_CONTROL_FIRED: checker_returns_declared_type rejected [checker-control] [e219-correspondence] FAIL: e219_sites:got_1 [checker-con
e219_engine_oracle_gate.sh	every-pr	gate_cost	0	0	no	pass-measured	yes	[e219-oracle] seed_live: compile_rc=0 elf_exists=1 (split reported) [e219-oracle] POSITIVE_CONTROL_FIRED: madaros_without_e219 rejected [madaros-control] [e219-
epistemic_measure_correspondence_gate.sh	every-pr	gate_cost	0	0	no	pass-measured	yes	[epistemic-correspondence] POSITIVE_CONTROL_FIRED: checker_fixed_f64 rejected [checker-control] [epistemic-correspondence] FAIL: measure_propagates_argument_typ
sigpipe_hygiene_gate.sh	every-pr	gate_cost	0	0	no	pass-measured	yes	canary rc=141 observable; SIGPIPE_HYGIENE_GATE_OK
