id	iri	label
0	http://purl.obolibrary.org/obo/BFO_0000050	part of
1	http://purl.obolibrary.org/obo/BFO_0000051	has part
2	http://purl.obolibrary.org/obo/BFO_0000062	preceded by
3	http://purl.obolibrary.org/obo/BFO_0000063	precedes
4	http://purl.obolibrary.org/obo/BFO_0000066	occurs in
5	http://purl.obolibrary.org/obo/GOREL_0000040	results in
6	http://purl.obolibrary.org/obo/GOREL_0002003	results in distribution of
7	http://purl.obolibrary.org/obo/GOREL_0002004	results in fission of
8	http://purl.obolibrary.org/obo/GOREL_0012006	results in maintenance of
9	http://purl.obolibrary.org/obo/RO_0000057	has participant
10	http://purl.obolibrary.org/obo/RO_0002007	bounding layer of
11	http://purl.obolibrary.org/obo/RO_0002010	regulates in another organism
12	http://purl.obolibrary.org/obo/RO_0002021	occurs across
13	http://purl.obolibrary.org/obo/RO_0002086	ends after
14	http://purl.obolibrary.org/obo/RO_0002087	immediately preceded by
15	http://purl.obolibrary.org/obo/RO_0002090	immediately precedes
16	http://purl.obolibrary.org/obo/RO_0002091	starts during
17	http://purl.obolibrary.org/obo/RO_0002092	happens during
18	http://purl.obolibrary.org/obo/RO_0002093	ends during
19	http://purl.obolibrary.org/obo/RO_0002131	overlaps
20	http://purl.obolibrary.org/obo/RO_0002163	spatially disjoint from
21	http://purl.obolibrary.org/obo/RO_0002211	regulates
22	http://purl.obolibrary.org/obo/RO_0002212	negatively regulates
23	http://purl.obolibrary.org/obo/RO_0002213	positively regulates
24	http://purl.obolibrary.org/obo/RO_0002215	capable of
25	http://purl.obolibrary.org/obo/RO_0002216	capable of part of
26	http://purl.obolibrary.org/obo/RO_0002220	adjacent to
27	http://purl.obolibrary.org/obo/RO_0002222	temporally related to
28	http://purl.obolibrary.org/obo/RO_0002224	starts with
29	http://purl.obolibrary.org/obo/RO_0002230	ends with
30	http://purl.obolibrary.org/obo/RO_0002231	has start location
31	http://purl.obolibrary.org/obo/RO_0002232	has end location
32	http://purl.obolibrary.org/obo/RO_0002233	has input
33	http://purl.obolibrary.org/obo/RO_0002234	has output
34	http://purl.obolibrary.org/obo/RO_0002295	results in developmental progression of
35	http://purl.obolibrary.org/obo/RO_0002296	results in development of
36	http://purl.obolibrary.org/obo/RO_0002297	results in formation of anatomical entity
37	http://purl.obolibrary.org/obo/RO_0002298	results in morphogenesis of
38	http://purl.obolibrary.org/obo/RO_0002299	results in maturation of
39	http://purl.obolibrary.org/obo/RO_0002304	causally upstream of, positive effect
40	http://purl.obolibrary.org/obo/RO_0002305	causally upstream of, negative effect
41	http://purl.obolibrary.org/obo/RO_0002323	mereotopologically related to
42	http://purl.obolibrary.org/obo/RO_0002324	developmentally related to
43	http://purl.obolibrary.org/obo/RO_0002328	functionally related to
44	http://purl.obolibrary.org/obo/RO_0002329	part of structure that is capable of
45	http://purl.obolibrary.org/obo/RO_0002334	regulated by
46	http://purl.obolibrary.org/obo/RO_0002337	related via localization to
47	http://purl.obolibrary.org/obo/RO_0002338	has target start location
48	http://purl.obolibrary.org/obo/RO_0002339	has target end location
49	http://purl.obolibrary.org/obo/RO_0002341	results in transport along
50	http://purl.obolibrary.org/obo/RO_0002342	results in transport across
51	http://purl.obolibrary.org/obo/RO_0002343	results in growth of
52	http://purl.obolibrary.org/obo/RO_0002344	results in transport to from or in
53	http://purl.obolibrary.org/obo/RO_0002407	indirectly positively regulates
54	http://purl.obolibrary.org/obo/RO_0002409	indirectly negatively regulates
55	http://purl.obolibrary.org/obo/RO_0002410	causally related to
56	http://purl.obolibrary.org/obo/RO_0002411	causally upstream of
57	http://purl.obolibrary.org/obo/RO_0002412	immediately causally upstream of
58	http://purl.obolibrary.org/obo/RO_0002413	provides input for
59	http://purl.obolibrary.org/obo/RO_0002414	transitively provides input for
60	http://purl.obolibrary.org/obo/RO_0002418	causally upstream of or within
61	http://purl.obolibrary.org/obo/RO_0002427	causally downstream of or within
62	http://purl.obolibrary.org/obo/RO_0002479	has part that occurs in
63	http://purl.obolibrary.org/obo/RO_0002500	causal agent in process
64	http://purl.obolibrary.org/obo/RO_0002501	causal relation between processes
65	http://purl.obolibrary.org/obo/RO_0002565	results in movement of
66	http://purl.obolibrary.org/obo/RO_0002578	directly regulates
67	http://purl.obolibrary.org/obo/RO_0002584	has part structure that is capable of
68	http://purl.obolibrary.org/obo/RO_0002586	results in breakdown of
69	http://purl.obolibrary.org/obo/RO_0002588	results in assembly of
70	http://purl.obolibrary.org/obo/RO_0002590	results in disassembly of
71	http://purl.obolibrary.org/obo/RO_0002591	results in remodeling of
72	http://purl.obolibrary.org/obo/RO_0002592	results in organization of
73	http://purl.obolibrary.org/obo/RO_0002595	causal relation between material entity and a process
74	http://purl.obolibrary.org/obo/RO_0002596	capable of regulating
75	http://purl.obolibrary.org/obo/RO_0002597	capable of negatively regulating
