MUTATION_ID	TARGET	OUTCOME	FAILURE_SIGNATURE_SHA256
M01	summary_attempt_count	rejected	1223403ac9e74eb639999339fc39241be0174ea81c1eb2d1f89d9c350de56051
M02	summary_pair_verdict	rejected	9d0778e8890e81a38b701cb87691cd9f02f6a43834f4f6901b6cd4b0c8839a42
M03	result_challenge	rejected	d13d0b3a1914d39527048c1d6aa941d3092cb4ad0b03f758fcc80056f2d7e264
M04	result_binding	rejected	9b74458eb9cc825d907ee43498e4f01b90a0c1a22b06e1f9af4df626719846d1
M05	result_certificate	rejected	dc23a51c6613bc1c2bcb95c13d0e3f0ef767479f0444f48df2f3c46747780aad
M06	result_joint_upper	rejected	abc6e6ead6a7b2a9bf2527e13cd00eb56b4aabf8026a840b32b551cb4c264d83
M07	result_carrier	rejected	b90180652ff2412aec8bc09032f3c74ef3b6e93cd98342b2e8ed02f8a660aefe
M08	result_row_deleted	rejected	148089213869c543ea03b35eb72fd6318032f98d0c32a32aa33b0bd0f7ecd84f
M09	raw_stdout	rejected	6254cafe11ac0e0e149e72c94aa45a281a202e58806fd4c4c41153fdf5f45f28
M10	slurm_job_identity	rejected	cd8fd8469013dbc8ea55ea59035e664a5f289ec2bd584818c75525ec12b5dbf3
M11	fresh_build_order	rejected	d9e92fbb8a15a0dee3b7bb524082ee63a691bdc850bab8cfcb4bf9047b7b4620
M12	source_commit	rejected	da12d3e0a74b80038db7df35cc43e188f1885c5da5c4b2e213eb3998dac69db0
M13	forbidden_v7b_claim	rejected	e15f574bcb123b7b4f0c2cc6d9f47610a33d69089b2fdbd51196cfdd2e9c8141
M14	forbidden_open_problem_claim	rejected	dea76f81341c2921003858a8d733357d7114f6fb2a86a8520f3191ddd65659b9
