id	iri	label
0	http://purl.obolibrary.org/obo/BFO_0000051	has part
1	http://purl.obolibrary.org/obo/RO_0000053	has characteristic
2	http://purl.obolibrary.org/obo/RO_0000087	has role
3	http://purl.obolibrary.org/obo/RO_0002131	overlaps
4	http://purl.obolibrary.org/obo/RO_0002323	mereotopologically related to
5	http://purl.obolibrary.org/obo/RO_0018030	chemical relationship
6	http://purl.obolibrary.org/obo/RO_0018033	is deprotonated form of
7	http://purl.obolibrary.org/obo/RO_0018034	is protonated form of
8	http://purl.obolibrary.org/obo/RO_0018036	is tautomer of
9	http://purl.obolibrary.org/obo/RO_0018037	is substitutent group from
10	http://purl.obolibrary.org/obo/RO_0018038	has functional parent
11	http://purl.obolibrary.org/obo/RO_0018039	is enantiomer of
12	http://purl.obolibrary.org/obo/RO_0018040	has parent hydride
